Substance name,EC/List no.,CAS no.,BAS number,Product-type,Review Programme flag,New active substance flag,Annex I substance flag,Inclusion Category,Approval start date,Approval end date,Evaluating competent authority,Approval status,Assessment status,Assessment sub-status,Legal act,Link to legal act,R4BP asset number,Candidate for substitution,Factsheet URL,Related authorised biocidal products,RML ID,Substance information page
"1,2-benzisothiazol-3(2H)-one (BIT)",220-120-9,2634-33-5,1218,PT06-Preservatives for products during storage,true,false,false,0,01/10/2026,30/09/2036,Spain,Approved,,,Commission Implementing Regulation (EU) 2025/929 ,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32025R0929,EU-0027482-0000,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT06,0,100.018.292,https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292
"1,2-benzisothiazol-3(2H)-one (BIT)",220-120-9,2634-33-5,1218,"PT09-Fibre, leather, rubber and polymerised materials preservatives",true,false,false,0,,,Spain,,Initial application for approval in progress,Open for taking over the role of participant,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT09,0,100.018.292,https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292
"1,2-benzisothiazol-3(2H)-one (BIT)",220-120-9,2634-33-5,1218,PT10-Construction material preservatives,false,true,false,0,,,Spain,No longer supported,,,COMMISSION IMPLEMENTING DECISION (EU) 2022/2325,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32022D2325,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT10,0,100.018.292,https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292
"1,2-benzisothiazol-3(2H)-one (BIT)",220-120-9,2634-33-5,1218,PT11-Preservatives for liquid-cooling and processing systems,true,false,false,0,,,Spain,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT11,0,100.018.292,https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292
"1,2-benzisothiazol-3(2H)-one (BIT)",220-120-9,2634-33-5,1218,PT12-Slimicides,true,false,false,0,,,Spain,,Initial application for approval in progress,Competent authority evaluation,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT12,0,100.018.292,https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292
"1,2-benzisothiazol-3(2H)-one (BIT)",220-120-9,2634-33-5,1218,PT13-Working or cutting fluid preservatives,true,false,false,0,01/10/2026,30/09/2036,Spain,Approved,,,Commission Implementing Regulation (EU) 2025/929 ,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32025R0929,EU-0027490-0000,No,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1218/PT13,0,100.018.292,https://echa.europa.eu/substance-information/-/substanceinfo/100.018.292
"1,3-bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione (DMDMH)",229-222-8,6440-58-0,1220,PT06-Preservatives for products during storage,true,false,false,0,,,Poland,,Initial application for approval in progress,Opinion development by BPC,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1220/PT06,0,100.026.566,https://echa.europa.eu/substance-information/-/substanceinfo/100.026.566
"1,3-bis(hydroxymethyl)-5,5-dimethylimidazolidine-2,4-dione (DMDMH)",229-222-8,6440-58-0,1220,PT13-Working or cutting fluid preservatives,true,false,false,0,,,Poland,,Initial application for approval in progress,Opinion development by BPC,,,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1220/PT13,0,100.026.566,https://echa.europa.eu/substance-information/-/substanceinfo/100.026.566
"1-(3,5-dichloro-4-(1,1,2,2-tetrafluoroethoxy)phenyl)-3-(2,6-difluorobenzoyl) urea (Hexaflumuron)",401-400-1,86479-06-3,1314,"PT18-Insecticides, acaricides and products to control other arthropods",true,false,false,0,01/04/2017,31/03/2027,Greece,Approved,Renewal in progress,Competent authority evaluation,Commission Implementing Decision (EU) 2024/1285 ,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32024D1285,EU-0012182-0000,Yes,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1314/PT18,0,100.100.333,https://echa.europa.eu/substance-information/-/substanceinfo/100.100.333
"1-[2-(allyloxy)-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole (Imazalil)",252-615-0,35554-44-0,1317,PT03-Veterinary hygiene,true,false,false,0,,,Germany,No longer supported,,,Decision (EU) 2020/1036 ,http://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32020D1036,-,Under assessment,https://echa.europa.eu/information-on-chemicals/biocidal-active-substances/-/disas/factsheet/1317/PT03,0,100.047.817,https://echa.europa.eu/substance-information/-/substanceinfo/100.047.817
