Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
"Hexanoic acid, 2,2,3,3,4,5,6,6,6-nonafluoro-4,5-bis(trifluoromethyl)-;Hexanoic acid, 2,2,3,3,4,5,6,6,6-nonafluoro-4,5-bis(trifluoromethyl)-",,-,1144512-36-6,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Hexanoic acid, 2,2,3,3,4,4,6,6,6-nonafluoro-5,5-bis(trifluoromethyl)-;Hexanoic acid, 2,2,3,3,4,4,6,6,6-nonafluoro-5,5-bis(trifluoromethyl)-",,-,1144512-34-4,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Heptanoic acid, 2,2,3,3,4,4,5,6,6,7,7,7-dodecafluoro-5-(trifluoromethyl)-;Heptanoic acid, 2,2,3,3,4,4,5,6,6,7,7,7-dodecafluoro-5-(trifluoromethyl)-",,-,909009-42-3,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Heptanoic acid, 2,3,3,4,4,5,5,6,6,7,7,7-dodecafluoro-2-(trifluoromethyl)-;Heptanoic acid, 2,3,3,4,4,5,5,6,6,7,7,7-dodecafluoro-2-(trifluoromethyl)-",,-,207678-51-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Hexanoic acid, 2,3,3,4,4,5,5,6,6,6-decafluoro-2-(1,1,2,2,2-pentafluoroethyl)-;Hexanoic acid, 2,3,3,4,4,5,5,6,6,6-decafluoro-2-(1,1,2,2,2-pentafluoroethyl)-",,-,35605-76-6,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Ethanaminium, N,N,N-triethyl-, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoate (1:1);Ethanaminium, N,N,N-triethyl-, 2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoate (1:1)",,-,98241-25-9,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Decanoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-;Decanoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-",,-,27854-31-5,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"2-Decenoic acid, 3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-hexadecafluoro-;2-Decenoic acid, 3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-hexadecafluoro-",,-,70887-84-2,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-, 1-(dihydrogen phosphate);1-Decanol, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-, 1-(dihydrogen phosphate)",,-,57678-03-2,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Hexanoic acid, 2,3,3,4,4,5,6,6,6-nonafluoro-2,5-bis(trifluoromethyl)-;Hexanoic acid, 2,3,3,4,4,5,6,6,6-nonafluoro-2,5-bis(trifluoromethyl)-",,-,1882109-80-9,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"1-Propanaminium,N,N,N-trimethyl-3- [(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl) amino]-, chloride (1:1);1-Propanaminium,N,N,N-trimethyl-3- [(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl) amino]-, chloride (1:1)",,-,53517-98-9,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"1-Propanesulfonic acid,3-[ethyl (2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]-,sodium salt (1:1);1-Propanesulfonic acid,3-[ethyl (2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluoro-1-oxooctyl)amino]-,sodium salt (1:1)",,-,89685-61-0,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Phosphine, tris[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]-;Phosphine, tris[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]-",,-,325459-92-5,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Palladium, dichlorobis[tris[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]phosphine-κP]-;Palladium, dichlorobis[tris[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)phenyl]phosphine-κP]-",,-,326475-46-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Butanoic acid, 3,3,4,4,4-pentafluoro-2,2-bis(1,1,2,2,2-pentafluoroethyl)-;Butanoic acid, 3,3,4,4,4-pentafluoro-2,2-bis(1,1,2,2,2-pentafluoroethyl)-",,-,1882109-58-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Hexanoic acid, 2,3,3,4,5,5,6,6,6-nonafluoro-2,4-bis(trifluoromethyl)-;Hexanoic acid, 2,3,3,4,5,5,6,6,6-nonafluoro-2,4-bis(trifluoromethyl)-",,-,1812247-19-0,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Hexanoic acid, 3,3,4,4,5,5,6,6,6-nonafluoro-2,2-bis(trifluoromethyl)-;Hexanoic acid, 3,3,4,4,5,5,6,6,6-nonafluoro-2,2-bis(trifluoromethyl)-",,-,1812247-17-8,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Hexanoic acid, 2,2,3,3,5,5,6,6,6-nonafluoro-4,4-bis(trifluoromethyl)-;Hexanoic acid, 2,2,3,3,5,5,6,6,6-nonafluoro-4,4-bis(trifluoromethyl)-",,-,1192593-79-5,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
