NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
10183,68855-54-9,YES,"Kieselguhr, soda ash flux-calcined",KE-21796,,,,,,,,,
10184,91053-39-3,YES,"Kieselguhr, calcined",KE-21795,,,,,,,,,
10185,61790-53-2,YES,Kieselguhr,KE-21794,,,,,,,,,
10186,70955-37-2,YES,"Ketones, coco",KE-21793,,,,,,,,,
10187,68514-41-0,YES,"Ketones, (C=12)-branched",KE-21792,,,,,,,,,
10188,68514-40-9,YES,"Ketones, (C=9)-branched",KE-21791,,,,,,,,,
10189,68458-86-6,YES,Ketones (C=14),KE-21790,,,,,,,,,
10190,71808-49-6,YES,Ketones (C=11),KE-21789,,,,,,,,,
10191,,YES,Keto fatty acid (C=3-10) alkyl ester,KE-21788,,,,,,,,,
10192,,YES,Ketobutyric acid [(oxoalkenyl)oxy]alkyl(C=3-18) ester,KE-21787,,,,,,,,,
10193,463-51-4,YES,"Ketene; Ethenone, Carbomethene",KE-21786,,,,,,,,,
10194,91770-15-9,YES,"Kerosine (petroleum), sweetened",KE-21785,,,,,,,,,
10195,68606-38-2,YES,"Kerosine (petroleum), sulfonated",KE-21784,,,,,,,,,
10196,92045-37-9,YES,"Kerosine (petroleum), straight-run wide-cut",KE-21783,,,,,,,,,
10197,92045-36-8,YES,"Kerosine (petroleum), solvent-refined sweetened",KE-21782,,,,,,,,,
10198,120928-15-6,YES,"Kerosine (petroleum), polymn.",KE-21781,,,,,,,,,
10199,101631-19-0,YES,"Kerosine (petroleum), hydrotreated",KE-21780,,,,,,,,,
10200,101316-68-1,YES,"Kerosine (petroleum), catalytic reformed, alkyl(C=8-15)benzene fraction",KE-21779,,,,,,,,,
10201,8008-20-6,YES,Kerosine; Kerosene,KE-21778,,,,,,,,,
10202,68915-25-3,YES,"Keratins, lauroyl derivs.",KE-21777,,,,,,,,,
10203,68238-35-7,YES,Keratin,KE-21776,,,,,,,,,
10204,9000-36-6,YES,Karaya gum,KE-21775,,,,,,,,,
10205,1318-74-7,YES,Kaolinite (Al2(Si2O7).2H2O),KE-21774,,,,,,,,,
10206,92704-41-1,YES,"Kaolin, calcined",KE-21773,,,,,,,,,
10207,1332-58-7,YES,Kaolin,KE-21772,,,,,,,,,
10208,25389-94-0,YES,Kanamycin A sulfate; Cantrex,KE-21771,,,,,,,,,
10209,,YES,Itaconic acid-vinylidene chloride-alkyl acrylate copolymer,KE-21770,,,,,,,,,
10210,51750-47-1,YES,Isoundecan-1-ol,KE-21769,,,,,,,,,
10211,70364-64-6,YES,Isotridecyl palmitate,KE-21768,,,,,,,,,
10212,9043-30-5,YES,"α-Isotridecyl-ω-hydroxypoly(oxy-1,2-ethanediyl)",KE-21767,,,,,,,,,
10213,69103-23-7,YES,Isotridecyl acetate,KE-21766,,,,,,,,,
10214,27458-92-0,YES,Isotridecan-1-ol,KE-21765,,,,,,,,,
10215,133754-47-9,YES,Isotridecanoic acid potassium salt,KE-21764,,,,,,,,,
10216,35723-81-0,YES,Isotridecanamine,KE-21763,,,,,,,,,
10217,92412-67-4,YES,trans-1-Isothiocyanato-4-(4-propylcyclohexyl)benzene,KE-21762,,,,,,,,,
10218,556-61-6,YES,Methyl isothiocyanate,KE-21761,97-1-228,,,,,,,유독물질 : 이소티오시안산 메틸 및 이를 1% 이상 함유한 혼합물,
10219,103-72-0,YES,Isothiocyanatobenzene; Phenyl isothiocyanate,KE-21760,,,,,,,,,
10220,,YES,"Isothiazolone, chloro alkyl(C=6-10) derivs.",KE-21759,,,,,,,,,
10221,288-16-4,YES,Isothiazol,KE-21758,,,,,,,,,
10222,119-65-3,YES,Isoquinoline; 2-Benzazine,KE-21757,,,,,,,,,
10223,74671-17-3,YES,N-Isopropyl-p-vinylphenethylamine,KE-21756,,,,,,,,,
10224,160573-79-5,YES,N-Isopropyl-o-vinylphenethylamine,KE-21755,,,,,,,,,
10225,77680-44-5,YES,N-Isopropyl-m-vinylphenethylamine,KE-21754,,,,,,,,,
10226,62391-99-5,YES,2-Isopropylvaleric acid,KE-21753,,,,,,,,,
10227,18362-97-5,YES,Isopropyl valerate,KE-21752,,,,,,,,,
10228,5459-98-3,YES,Isopropyl undec-10-enoate,KE-21751,,,,,,,,,
10229,61417-49-0,YES,Isopropyl triisostearoyl titanate,KE-21750,,,,,,,,,
10230,68585-78-4,YES,"Trihydrogen tris[P,P-dioctyl diphosphato(2-)-O'',O''''](propan-2-olato)titanate(3-), branched and linear; Isopropyl tri(dioctyl pyrophosphato)titannate",KE-21749,,,,,,,,,
10231,99-87-6,YES,4-Isopropyltoluene; p-Cymene,KE-21748,,,,,,,,,
10232,83846-86-0,YES,4-Isopropyl-9H-thioxanthen-9-one,KE-21747,,,,,,,,,
10233,5008-73-1,YES,1-(Isopropylthio)propane,KE-21746,,,,,,,,,
10234,367-93-1,YES,Isopropyl-β-D-thiogalactopyranoside,KE-21745,,,,,,,,,
10235,63197-61-5,YES,1-[(Isopropyl)sulfonyl]-2-amino-6-benzoyl-1H-benzoimidazole,KE-21744,,,,,,,,,
10236,112-10-7,YES,Isopropyl stearate,KE-21743,,,,,,,,,
10237,637-78-5,YES,Isopropyl propionate,KE-21742,,,,,,,,,
10238,93925-53-2,YES,"Phosphoric acid, mixed (1-methylethyl)phenyl and Ph triesters",KE-21741,,,,,,,,,
10239,99-89-8,YES,p-Isopropylphenol,KE-21740,,,,,,,,,
10240,618-45-1,YES,3-Isopropylphenol; 3-Isopropylhydroxybenzene,KE-21739,,,,,,,,,
10241,5458-59-3,YES,Isopropyl octanoate,KE-21738,,,,,,,,,
10242,55184-48-0,YES,4-Isopropylnaphthalene-1-sulfonic acid sodium salt,KE-21737,,,,,,,,,
10243,31093-48-8,YES,Isopropylnaphthalene sulfonic acid,KE-21736,,,,,,,,,
10244,,YES,Isopropyl(or methyl) trimethoxyalkyl alkylphosphonate(C=1-8),KE-21735,,,,,,,,,
10245,2814-20-2,YES,2-Isopropyl-6-methyl-4(1H)-pyrimidinone,KE-21734,,,,,,,,,
