NO,CAS No.,Value,Chemical Name,KE No.,Toxic substances,Substances requiring preparation for accidents,Restricted substances,Prohibited substances,Permitted substances,Substances subject to intensive control,Persistent pollutants,Percentage & Regulatory Information,Legacy_yn
29477,200119-19-3,YES,"N,N-Diethyl-N-methyl-2-[(1-oxo-2-propenyl)oxy]ethanaminium methyl sulfate polymer with 2-propenamide and N,N,N-trimethyl-2-[(1-oxo-2-propenyl)oxy]ethanaminium chloride",2001-3-1934,,,,,,,,,
29478,287381-53-7,YES,4-Ethenyphenol polymer with 1-ethenyl-4-(1-ethoxyethoxy)benzene and 4-ethenylphenylbenzoate,2001-3-1933,,,,,,,,,
29479,59493-72-0,YES,"3-[[4-(Heptadecafluorononeyl)oxy]benzoyl]amino]-N,N,N-trimethyl 1-propanaminium iodide",2001-3-1932,,,,,,,,,
29480,,YES,"Isobutyl silsesquioxane, hydroxy-terminated",2001-3-1931,,,,,,,,,
29481,226996-19-6,YES,"aqua 3,5-Bis(1,1-dimethylethyl)-2-hydroxybenzoate hydroxy oxo zirconium complexes",2001-3-1930,,,,,,,,,
29482,72108-90-8,YES,"α-Isotridecyl-ω-hydroxypoly[oxy(methyl-1,2-ethanediyl)]",2001-3-1929,,,,,,,,,
29483,36395-57-0,YES,"4,4'-[1,4-Phenylenebis(1-methylethylidene)]bis[2,6-dimethylphenol]",2001-3-1928,,,,,,,,,
29484,872-36-6,YES,Vinylene carbonate,2001-3-1927,,,,,,,,,
29485,,YES,"(9Z,12R)-12-Hydroxy-9-octadecenoic acid homopolymer 3-(dimethylamino)propyl amide, di-Me sulfate-quaternized",2001-3-1926,,,,,,,,,
29486,352-87-4,YES,"2,2,2-Trifluoroethyl 2-methyl-2-propenoate",2001-3-1925,2018-1-813,,,,,,,"유독물질 : 2-메틸-2-프로펜산 2,2,2-트리플루오로에틸 및 이를 25% 이상 함유한 혼합물",
29487,176894-23-8,YES,"Methyl 2-methyl-2-propenoate polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, methyloxirane polymer with oxirane mono-2-propenoate, α-(2-methyl-1-oxo-2-propenyl)-ω-[(2-methyl-1-oxo-2-propenyl)oxy]poly(oxy-1,2-ethanediyl) and 3-[3,3,3-trimethyl-1,1-bis[(trimethylsilyl)oxy]disiloxanyl]propyl 2-methyl-2-propenoate",2001-3-1924,,,,,,,,,
29488,125350-99-4,YES,"2-(1,3,4,5,6,7-Hexahydro-1,3-dioxo-2H-isoindol-2-yl)ethyl 2-propenoate",2001-3-1923,,,,,,,,,
29489,,YES,"2-Propenoic acid polymer with sodium 4-ethenylbenzenesulfonate, sodium salt, disodium disulfite and peroxydisulfuric acid ([(HO)S(O)2]2O2) diammonium salt initiated",2001-3-1922,,,,,,,,,
29490,76-84-6,YES,Triphenylmethanol,2001-3-1908,,,,,,,,,
29491,177080-67-0,YES,2-Methyl-2-adamantylmethacrylate,2001-3-1920,,,,,,,,,
29492,,YES,"Imides, cyclic, from C36-alkylenediamines and maleic anhydride",2001-3-1919,,,,,,,,,
29493,145268-21-9,YES,"Dimethyl carbonate polymer with 1,6-hexanediol, 2-oxepanone, polymer with 2,2-oxybis[ethanol], 3-hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethyl propionate, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, acrylic acid monoester with 1,2-propanediol",2001-3-1918,,,,,,,,,
29494,14648-57-8,YES,2-Ethyl-2-adamantanol,2001-3-1917,,,,,,,,,
29495,702-98-7,YES,2-Methyl-2-adamantanol,2001-3-1916,,,,,,,,,
29496,,YES,"Mixture of 2,2-dimethylpropane-1,3-diyl 2-ethylhexanoate, 2,2-dimethyl propane-1,3-diol diester with 2-ethylhexanoic acid and benzoic acid, and 2,2-dimethyl-1,3-propanediyl dibenzoate",2001-3-1915,,,,,,,,,
29497,155040-27-0,YES,"1,1-Dimethylethyl 2-methyl-2-propenoate polymer with 4-ethenylphenol",2001-3-1914,,,,,,,,,
29498,67828-12-0,YES,Ethenyl tert-decanoate polymer with butyl 2-propenoate and ethenyl acetate,2001-3-1913,,,,,,,,,
29499,10453-89-1,YES,"2,2-Dimethyl-3-(2-methyl-1-propenyl)-cyclopropane carboxylic acid (Chrysanthemic acid)",2001-3-1912,,,,,,,,,
29500,29605-88-7,YES,4-Hydroxy-3-methyl-2-(2-propenyl)-2-cyclopenten-1-one(Allethrolone),2001-3-1911,,,,,,,,,
29501,136355-24-3,YES,"4-[Bis(4-hydroxy-3,5-dimethylphenyl)methyl]-1,2-benzenediol",2001-3-1910,,,,,,,,,
29502,25722-66-1,YES,"(1-Methylethylidene)di-4,1-phenylene cyanate homopolymer",2001-3-1909,,,,,,,,,
29503,,YES,"Mixture of 3-[5-[3-[4-[1,6-dihydro-2-hydroxy-4-methyl-1-[3-(methylamino)propyl]-6-oxo-3-pyridylazo]benzamido]phenylazo]-1,2-dihydro-6-hydroxy-4-methyl-2-oxo-1-pyridyl]propyl(methyl)ammoniummdi(acetate), 3-[5-[3-[4-[1,6-dihydro-2-hydroxy-4-methyl-1-[3-(methylamino)propyl]-6-oxo-3-pyridylazo]phenyl carbamoyl]phenylazo]-1,2-dihydro-6-hydroxy-4-methyl-2-oxo-1-pyridyl]propyl(dimethyl)ammonium di(acetate) and 3-[5-[3-[4-[1,6-dihydro-2-hydroxy-4-methyl-1-[3-(methylamino)propyl]-6-oxo-3-pyridylazo]benzamido]phenylazo]-1,2-dihydro-6-hydroxy-4-methyl-2-oxo-1-pyridyl]propyl(dimethyl)ammonium di(acetate)",2001-3-1907,,,,,,,,,
29504,,YES,"Sodium bis[tris(2-hydroxyethyl)ammonium][{6-anilino-4'-(4,8-(disulfonato-2-naphthylazo)-5'-methyl-3-sulfonatonaphthalene-2-azobenzene-1,2'-diolato] cuprate(II)",2001-3-1906,,,,,,,,,
29505,186672-70-8,YES,"α-Hydro-ω-hydroxy-poly(oxy-1,2-ethanediyl) polymer with 1,6-diisocyanatohexane, polyethylene glycol mono[(1-phenylethyl)phenyl] ether-blocked",2001-3-1905,,,,,,,,,
29506,15792-20-8,YES,"3-Hydroxy-4-[(1-sulfo-2-naphthalenyl)azo]-2-naphthalene carboxylic acid, strontium salt(1:1)",2001-3-1904,,,,,,,,,
29507,140936-35-2,YES,"Diethyl carbonate polymer with 1,6-hexanediol and 3-methyl-1,5-pentanediol",2001-3-1903,,,,,,,,,
29508,,YES,"Adipic acid polymer with neopentyl glycol 1,6-hexanediol trimellitic anhydride pyromellitic dianhydride salt with ammonia diethanolamine and 2-methyl-1,5-pentanediamine",2001-3-1902,,,,,,,,,
29509,19752-55-7,YES,"1-Bromo-3,5-dichlorobenzene",2001-3-1901,,,,,,,,,
29510,,YES,Sulfurized n-dodecyl olefin,2001-3-1900,,,,,,,,,
29511,,YES,"3-(Polyisobutenyl)dihydro-2,5-furandione polymer with 3-(hexadecenyl)dihydro-2,5-furandione and 1,2-ethanediol, compd. with 2-(dimethylamino)ethanol",2001-3-1899,,,,,,,,,
29512,68411-04-1,YES,"[29H, 31H-Phthalocyaninato(2-)-N29, N30, N31, N32]-copper, [[3- (dimethylamino)propyl]amino]sulfonyl derivs.",2001-3-1898,,,,,,,,,
29513,68442-29-5,YES,"α-Hydro-ω-hydroxypoly[oxy(methyl-1,2-ethanediyl)] polymer with 1,1'- methylenebis[4-isocyanatocyclohexane], 2-hydroxyethyl acrylate-blocked",2001-3-1897,,,,,,,,,
29514,,YES,"Mixture of 5'-(N, N-diallylamino)-4'-(2-methoxyethoxy)-2'-(5-nitrobenzo[c] isothiazol-3-ylazo)acetoanilide and 5'-allylamino-4'-(2-methoxyethoxy)-2'-(5-nitrobenzo[c]isothiazol-3-ylazo)acetoanilide",2001-3-1896,,,,,,,,,
29515,114352-07-7,YES,"Rosin polymer with diethylene glycol, ethylene glycol, glycerol, isophthalic acid, polyethylene glycol ether with bisphenol A (2:1) and terephthalic acid",2001-3-1895,,,,,,,,,
29516,27136-00-1,YES,"(E)-2-Butenedioic acid polymer with 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[2-propanol]",2001-3-1894,,,,,,,,,
29517,145899-78-1,YES,"Carbonato bis(-N-ethyl, 2-isopropyl-1,3-oxazolane)",2001-3-1893,,,,,,,,,
29518,163702-01-0,YES,"(1-Methylethenyl)benzene homopolymer, ar-(2-hydroxy-2-methyl-1-oxopropyl) derivs.",2001-3-1892,,,,,,,,,
29519,70644-56-3,YES,"Polymethylenepolyphenylene isocyanate polymer with α-methyl-ω-hydroxypoly(oxy-1,2-ethanediyl)",2001-3-1891,,,,,,,,,
29520,247061-21-8,YES,"3,5-Diamino-2-[(1,5-disulfo-2-naphthalenyl)azo]-4,6-bis[[4-(ethenyl sulfonyl)phenyl]azo]-benzoic acid sodium salt",2001-3-1890,,,,,,,,,
29521,259795-03-4,YES,"5-[[4-Chloro-6-[[2-[2-(ethylsulfonyl)ethoxy]ethyl]amino]-1,3,5-triazin-2-yl]amino]-4-hydroxy-3-[(1-sulfo-2-naphthalenyl)azo]-2,7-naphthalene sulfonic acid trisodium salt",2001-3-1889,,,,,,,,,
29522,216698-07-6,YES,"3-[2-(Acetyloxy)-5-(1,1,3,3,-tetramethylbutyl)phenyl]-5-(1,1,3,3,-tetramethylbutyl)-2(3H)-benzofuranone",2001-3-1888,,,,,,,,,
29523,139755-78-5,YES,"Dimethyl 1,4-benzenedicarboxylate polymer with 1,2-propanediol, diester with α-methyl-ω-hydroxypoly(oxy-1,2-ethanediyl)",2001-3-1887,,,,,,,,,
29524,,YES,"Oxirane polymer with 1,6-diisocyanatohexane, sodium N-(2-aminoethyl)-β-alaninate, hexahydro-2H-azepin-2-one blocked",2001-3-1886,,,,,,,,,
29525,,YES,"Methyloxirane polymer with oxirane, 1-butanol, hexamethylene diiso cyanate, 3-isocyanatomethyl-3,5,5-trimethylcyclohexyl isocyanate, 3- aminomethyl-3,5,5-trimethylcyclohexylamine and sulfurous acid, monosodium salt",2001-3-1885,,,,,,,,,
29526,145052-33-1,YES,"Methylene butanedioic acid polymer with ethenyl acetate, hydrolyzed, cyclic acetal with acetaldehyde and butanal, sodium salts",2001-3-1884,,,,,,,,,
29527,286958-01-8,YES,"N-[4-[(2,6-Dichloro-4-nitrophenyl)azo]phenyl]-N-methyl-benzene methaneamine",2001-3-1883,,,,,,,,,
29528,1204-28-0,YES,4-Chloroformylphthalic anhydride,2001-3-1882,,,,,,,,,
29529,26222-39-9,YES,2-(Dimethylamino)ethyl 2-methyl-2-propenoate polymer with ethenyl benzene,2001-3-1881,,,,,,,,,
29530,118689-13-7,YES,"6-Diazo-5,6-dihydro-5-oxo-1-naphthalenesulfonic acid, ester with 4,4'-(1-methylethylidene)bis[1,2,3-benzenetriol]",2001-3-1880,,,,,,,,,
29531,166164-74-5,YES,"2-Propenoic acid polymer with N,N-di-2-propenyl-2-propen-1-amine and hydrolyzed polyvinyl acetate, sodium salt, graft",2001-3-1879,,,,,,,,,
29532,28407-37-6,YES,"Tetrasodium [μ-[[3,3'-[(3,3'-dihydroxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonato]](8-)]]dicuprate",2001-3-1878,,,,,,,,,
29533,,YES,"Formaldehyde polymer with tetrapropylenephenol, magnesium salt",2001-3-1877,,,,,,,,,
29534,159002-22-9,YES,Phosphoric acid mixed alkyl(C=12∼16) and phenyl triester,2001-3-1876,,,,,,,,,
29535,2551-83-9,YES,Allyltrimethoxysilane,2001-3-1875,,,,,,,,,
29536,49577-56-2,YES,"1,2,4-Benzenetricarboxylic acid compound with 2-undecyl-1H-imidazole-1-propanenitrile",2001-3-1874,,,,,,,,,
29537,,YES,"Phenol and 4,4'-sulfonyldihpenol substituted phosphazen oligomer",2001-3-1873,,,,,,,,,
29538,1656-63-9,YES,Tridodecyl trithiophosphite,2001-3-1871,,,,,,,,,
29539,86261-90-7,YES,2-(2-Oxoimidazolidin-1-yl)ethyl 2-methyl-2-propenoate,2001-3-1870,,,,,,,,,
29540,,YES,"1,2,4,5-Benzenetetracarboxylic dianhydride polymer with 1,2,3,4-cyclobutanetetracarboxylic dianhydride, 4,4'-diaminodiphenylmethane and 4,4'-diamino-2,2'-dimethyldiphenylmethane",2001-3-1869,,,,,,,,,
29541,104133-73-5,YES,"Amines, tallow alkyl, reaction products with bisphenol A diglycidyl ether, ethoxylated",2001-3-1868,,,,,,,,,
29542,122966-99-8,YES,"2,4,6-Tris(1-methylpropyl)phenol reaction products with 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane],ethoxylated",2001-3-1867,,,,,,,,,
29543,68928-76-7,YES,Dimethylbis[(1-oxoneodecyl)oxy]stannane,2001-3-1866,,,,,,,,,
29544,13223-25-1,YES,"2-Chloro-4,6-dimethoxypyrimidine",2001-3-1865,,,,,,,,,
29545,71926-19-7,YES,"α-(1-Oxo-2-propenyl)-ω-(nonylphenoxy)poly[oxy(methyl-1,2-ethanediyl)]",2001-3-1864,,,,,,,,,
29546,2467-02-9,YES,"2,2'-Methylenediphenol",2001-3-1863,2024-1-1191,,,,,,,"유독물질 : 메틸렌비스페놀[Methylenebisphenol; Bisphenol F; 1333-16-0, 2467-02-9, 2467-03-0, 620-92-8] 및 이를 0.3% 이상 함유한 혼합물",
29547,30374-01-7,YES,Isooctyl 3-mercaptopropionate,2001-3-1862,,,,,,,,,
29548,474795-79-4,YES,"Canola oil reaction products with branched N1-[3-(tridecyloxy)propyl]-1,3-propanediamine, carbon disulfide and molybdenum oxide (MoO3)",2001-3-1861,,,,,,,,,
29549,177255-30-0,YES,"Siloxanes and silicones, branched and linear alkyl(C=25∼54) Me, di-Me",2001-3-1860,,,,,,,,,
29550,,YES,"Phosphorodithioic acid, O,O-bis(1,3-dimethylbutyl) S-(2-hydroxypropyl)ester, phosphate, compd. with 2-ethyl-1-hexaneamine",2001-3-1859,,,,,,,,,
29551,,YES,"Bis(3-diisooctoxyphosphinothioylthiopropionamide methyl) ether with N,N'-methylene-bis(3-diisooctoxyphosphinothioylthiopropianamide)",2001-3-1858,,,,,,,,,
29552,,YES,"Propionaldehyde polymer with formaldehyde, 3-methylphenol and 3,4-dimethylphenol",2001-3-1857,,,,,,,,,
29553,,YES,"2-Hydroxypropyl 2-propenoate polymer with 2-propenoic acid, ammonium salt",2001-3-1856,,,,,,,,,
29554,147504-92-5,YES,"4,6-Bis[1-(4-hydroxyphenyl)-1-methylethyl]-1,3-benzenediol",2001-3-1855,,,,,,,,,
29555,,YES,"Dimethyl 1,4-benzenecarboxylate polymer with 1,2-ethanediol, 1,2-propanediol, α-hydro-ω-hydroxypoly(oxy-1,2-ethanediyl) ester with α-methyl-ω-hydroxypoly(oxy-1,2-ethanediyl) and pentaerythritol",2001-3-1854,,,,,,,,,
29556,70024-64-5,YES,Hydrobis(2-methylpropyl)aluminium reaction products with isoprene,2001-3-1853,,,,,,,,,
29557,220198-21-0,YES,"Dimethyl 2-[[2-oxo-1-[[(1,2,3,4-tetrahydro-7-methoxy-2,3-dioxo-6-quinoxalinyl)amino]carbonyl]propyl]azo]-1,4-benzenedicarboxylate",2001-3-1852,,,,,,,,,
29558,62362-49-6,YES,"α-Octadecyl-ω-hydroxypoly(oxy-1,2-ethanediyl), phosphate",2001-3-1851,,,,,,,,,
29559,246871-16-9,YES,"3-Bromo-2-[4-N,N-bis(2-cyanoethyl)aminophenylazo]-5-nitro-benzo trifluoride",2001-3-1850,,,,,,,,,
29560,212501-14-9,YES,"N,N'-[(1,E)-1,2-Ethenediylbis[(3-sulfo-4,1-phenylene)imino[6-[(4-acetyl  phenyl)amino]-1,3,5-triazin-4,2-diyl]]]bis L-aspartic acid, hexasodium salt",2001-3-1849,,,,,,,,,
29561,,YES,"Reaction products of 2,2'-dimethyl-4,4'-dihydroxy-5,5'-ditert-buthyldiphenylsulfide and chloromethyloxyrane",2001-3-1848,,,,,,,,,
29562,105167-53-1,YES,"Hexanedioic acid polymer with N,N-diethylethanamine 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoate, 2,2-dimethyl-1,3-propanediol, 1,2-ethanediamine and 1,1'-methylenebis[4-isocyanatocyclohexane]",2001-3-1847,,,,,,,,,
29563,22527-63-5,YES,"3-(Benzoyloxy)-2,2,4-trimethylpentyl isobutyrate",2001-3-1846,,,,,,,,,
29564,149564-66-9,YES,"[4-[(5-chloro-2-hydroxyphenyl)azo]-2,4-dihydro-5-methyl-3H-pyrazol-3-onato-(2-)][3-[[(4,5-dihydro-3-methyl-1-(4-methylphenyl)-5-oxo-1H-pyrazol-4-yl]azo]-4-hydroxy-5-nitrobenzenesulfonato(3-)] chromate(2-), lithium sodium salt",2001-3-1845,,,,,,,,,
29565,503442-46-4,YES,"4,4a,9,9a-Tetrahydro-1,4-methano-1H-fluorene polymer with 1,2,3,4,4a,5,8,8a-octahydro-1,4:5,8-dimethanonaphthalene and 3a,4,7,7a-tetrahydro-4,7-methano-1H-indene, hydrogenated",2001-3-1844,,,,,,,,,
29566,,YES,"4,4a,9,9a-tetrahydro-1,4-methano-1H-fluorene polymer with 1,2,3,4,4a,5,8,8a-octahydro-1,4:5,8-dimethanonaphthalene, hydrogenated",2001-3-1843,,,,,,,,,
29567,52292-29-2,YES,"Methyl(1-methylethenyl)benzene, homopolymer",2006-3-3565,,,,,,,,,
29568,,YES,"1,2-Bis(trimethoxysilyl)ethane reaction products with 1,1,3,3-tetramethyldisiloxane and 2,4,6-trimethyl-2,4,6-tri(3,3,3-trifluoropropyl)cyclotrisiloxane",2001-3-1842,,,,,,,,,
29569,182121-12-6,YES,"9,9-Bis(methoxymethyl)fluorene",2001-3-1841,,,,,,,,,
29570,84189-54-8,YES,"5-Sulfo-1,3-benzenedicarboxylic acid, monosodium salt polymer with 1,4-benzenedicarboxylic acid, 1,4-butanediol, 1,2-ethanediol, hexane  dioic acid and α-hydro-ω-hydroxypoly(oxy-1,4-butanediyl)",2001-3-1840,,,,,,,,,
29571,,YES,"Tetrahydro-1,3,4,6-tetrakis(methoxymethyl)imidazo(4,5-d)imidazol-2,5 (1H,3H)-dione polymer with α-hydro-ω-hydroxypoly(oxy-1,2- ethanediyl) reaction products with α-[tris(1-phenylethyl)phenyl]-ω-hydroxypoly(oxy-2,1-ethanediyl) and α-(dodecylphenyl)-ω-hydroxy poly(oxy-1,2-ethanediyl)",2001-3-1839,,,,,,,,,
29572,,YES,"Tetrahydro-1,3,4,6-tetrakis(methoxymethyl)imidazo(4,5-d)imidazol-2,5 (1H,3H)-dione polymer with α-hydro-ω-hydroxypoly(oxy-1,2-ethanediyl) reaction products with α-[4-(1,1,3,3-tetramethylbutyl)phenyl]-ω-hydroxypoly(oxy-1,2-ethanediyl)",2001-3-1838,,,,,,,,,
29573,52125-43-6,YES,"ar'-Isopropyl(1,1'-biphenyl)-4-yl 3-diazo-3,4-dihydro-4-oxonaphthalene-1-sulphonate",2001-3-1803,,,,,,,,,
29574,,YES,"Mixture of 2,12-tridecadienenitrile and 3,12-tridecadienenitrile",2001-3-1802,,,,,,,,,
29575,954-16-5,YES,"Phenyl(2,4,6-trimethylphenyl)methanone",2001-3-1801,,,,,,,,,
29576,155419-48-0,YES,"Siloxanes and silicons, di-Me, 3-(hydroxypropyl)terminated, ethoxylated, propoxylated reaction products with 2-propenoic acid",2001-3-1800,,,,,,,,,
29577,165883-95-4,YES,"Siloxanes and silicons, di-Me, 3-(ethylamino)-2-methylpropyl group terminated",2001-3-1799,,,,,,,,,
29578,116736-81-3,YES,"(E)-2-Butenedioic acid polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, α, α'-[(1-methylethylidene)di-4,1-phenylene] bis[ω-hydroxypoly(oxy-1,2-ethanediyl)] and α, α'-[(1-methylethylidene) di-4,1-phenylene]bis[ω-hydroxypoly[oxy(methyl-1,2-ethanediyl)]]",2001-3-1798,,,,,,,,,
29579,29911-27-1,YES,1-(1-Methyl-2-propoxyethoxy)-propan-2-ol,2001-3-1797,,,,,,,,,
29580,220459-70-1,YES,"N,N-Bis[2-hydroxy-3-(2-propenyloxy)propyl]-glycine, monosodium salt reaction product with ammonium hydroxide and pentafluoroiodoethane tetrafluoroethylene telomer",2001-3-1796,,,,,,,,,
29581,69997-91-7,YES,"Bis[4-[[4-(ethylsulfonyl)-2-hydroxyphenyl]azo]-2,4-dihydro-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)]chromate(1-), compds. with 1,6-hexanediamine(2:1)",2001-3-1795,,,,,,,,,
29582,64255-97-6,YES,"Oxiranylmethyl 2-methyl-2-propenoate polymer with 1,3-butadiene, diethenylbenzene and 2-propenenitrile",2001-3-1794,,,,,,,,,
29583,185701-88-6,YES,"2,3,3,3-Tetrafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]-propanoyl fluoride polymer with trifluoro(trifluoromethyl)oxirane reaction products with 3-(ethenyldimethylsilyl)-N-methylbenzeneamine",2001-3-1793,,,,,,,,,
29584,7778-85-0,YES,"1,2-Dimethoxypropane",2001-3-1792,,,,,,,,,
29585,177591-11-6,YES,"Unsatd.(C=18) fatty acids dimers, hydrogenated polymers with adipic acid and   1,6-hexanediol",2001-3-1791,,,,,,,,,
29586,276869-63-7,YES,"Unsatd.(C=18) fatty acids dimers, hydrogenated polymers with adipic acid and   1,4-butanediol",2001-3-1790,,,,,,,,,
29587,276869-34-2,YES,"Unsatd.(C=18) fatty acids dimers, hydrogenated polymers with adipic acid and   neopentyl glycol",2001-3-1789,,,,,,,,,
29588,,YES,"Butyl 2-propenoate polymer with ethenylbenzene, N-(hydroxymethyl)-2-methyl-2-propenamide, methyl 2-propenoate and 2-propenenitrile with methacrylamide and acrylic acid",2001-3-1788,,,,,,,,,
29589,100402-78-6,YES,3-(Trimethoxysilyl)propyl 2-methyl-2-propenoate reaction products with silica,2001-3-1787,,,,,,,,,
29590,51851-37-7,YES,"Triethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane",2001-3-1786,,,,,,,,,
29591,,YES,2-[[[3-(Dimethylamino)propyl]amino]methyl]-6-methyl-4-polybutene derivs. phenol,2001-3-1785,,,,,,,,,
29592,31506-43-1,YES,[3-(Dimethylamino)propyl]urea,2001-3-1784,,,,,,,,,
29593,310878-20-7,YES,"(1-Methylethylidene)di-4,1-phenylene cyanate polymer with 1H, 3H-benzo -[1,2-c:4,5-c']difuran-1,3,5,7-tetrone and 2,2'-[(1-methylethylidene)bis -(4,1-phenyleneoxymethylene)]bis[oxirane]2-propenoate, hydrogen butanedioate",2001-3-1783,,,,,,,,,
29594,,YES,"2-Amino-5-[(4-sulfophenyl)azo]benzenesulfonic acid, sodium salt compound with α,α',α""-(nitrilotri-2,1-ethanediyl)tris[ω-hydroxypoly(oxy-1,2-ethanediyl)]",2001-3-1782,,,,,,,,,
29595,62147-77-7,YES,"α,α'-[[[4-[(2,5-Disulfophenyl)azo]phenyl]imino]di-2,1-ethanediyl]bis[ω-hydroxypoly(oxy-1,2-ethanediyl)], disodium salt",2001-3-1781,,,,,,,,,
29596,,YES,"α-[4[(1-Hydroxy-3,6-disulfo-2-naphthalenyl)azo]phenyl]-ω-hydroxypoly(oxy-1,2-ethanediyl), disodium salt",2001-3-1780,,,,,,,,,
29597,,YES,"α,α'-[[[4-[(8-Hydroxy-3,6-disulfo-1-naphthalenyl)azo]-3-methylphenyl]imino]di-2,1-ethanediyl]bis[ω-hydroxypoly(oxy-1,2-ethanediyl), disodium salt",2001-3-1779,,,,,,,,,
29598,,YES,"1,1'-Methylenebis[4-isocyanatocyclohexane]polymer with 2,2-dimethyl-1,3-propanediol, hexanedioic acid, 1,6-hexanediol, hydrazine, 3-hydroxy-2-(hydroxymethyl)-2-methyl-propanoic acid and 2-oxepanone",2001-3-1778,,,,,,,,,
29599,42125-46-2,YES,4-tert-Butylcyclohexyl chloroformate,2001-3-1777,,,,,,,,,
29600,65652-36-0,YES,"Monomethyl (Z)-2-butenedioate polymer with ethenyl benzene, 2,5-furandione and (Z)-1-methylpropyl hydrogen 2-butenedioate",2001-3-1776,,,,,,,,,
29601,,YES,"Butyl 2-methyl-2-propenoate polymer with 2-methyl-aziridine, methyl 2-methyl-2-propenoate, 2-propenoic acid and butyl 2-propenoate",2001-3-1775,,,,,,,,,
29602,268567-32-4,YES,3-(Diisobutoxy-thiophosphorylsulfanyl)-2-methylpropionic acid,2001-3-1774,,,,,,,,,
29603,29014-71-9,YES,Dibutyl 2-butenedioate homopolymer,2001-3-1773,,,,,,,,,
29604,,YES,"Bis(5-acetyl-2,3,4-trihydroxyphenyl)methane reaction products with 6-diazo-5,6-dihydro-5-oxonaphthalene-1-sulfonylchloride and 3-diazo-3,4-dihydro-6-methoxy-4-oxonaphthalene-1-sulfonylchloride",2001-3-1772,,,,,,,,,
29605,25212-83-3,YES,"2-Propenoic acid polymer with ethene, ammonium salt",2001-3-1771,,,,,,,,,
29606,623-03-0,YES,4-Chlorobenzonitrile,2001-3-1770,,,,,,,,,
29607,,YES,"Disodium 6-[[2-(2-methylphenoxy)phenyl]azo]-4-[[(2,4-dichlorophenoxy)acetyl]amino]-5-hydroxy-1,7-naphthalenedisulfonate",2001-3-1769,,,,,,,,,
29608,63534-56-5,YES,"5-Sulfo-1,3-benzenedicarboxylic acid, 1,3-dimethyl ester sodium salt polymer with dimethyl 1,4-benzenedicarboxylate, 1,2-ethanediol and 2,2'-oxybis[ethanol]",2001-3-1768,,,,,,,,,
29609,1712-64-7,YES,Isopropyl nitrate,2001-3-1767,,,,,,,,,
29610,148105-13-9,YES,"Dimethyl 1,4-benzenedicarboxylate polymer with 1,4-cyclohexanedimethanol, 1,2-ethandiol and 2,2'-oxybis[ethanol]",2001-3-1766,,,,,,,,,
29611,28572-91-0,YES,"Methyl 2-propenoate polymer with chloroethene and 1,1-dichloroethene",2001-3-1765,,,,,,,,,
29612,109909-28-6,YES,2-Hydroxypropyl 2-methyl-2-propenoate polymer with hydroxy-terminated hydrogenated polybutadiene and TDI,2001-3-1764,,,,,,,,,
29613,,YES,"Reaction products of aluminium trihydroxide with poly(methyl)(ethoxy)siloxanes, vinylsilane ester and alkoxy and blocked poly(methylvinyl)(dimethyl)siloxane",2001-3-1763,,,,,,,,,
29614,67906-07-4,YES,"α-[2,4-Bis(1,1-dimethylpropyl)phenyl]-ω-hydroxy-poly(oxy-1,2-ethanediyl)",2001-3-1762,,,,,,,,,
29615,,YES,"4,4'-(1-Methylethylidene)bisphenol polymer with (chloromethyl)oxirane, methyl 2-methyl-2-propenoate, 2-propenoic acid, 2-methyl-2-propenoic acid and ethyl 2-propenoate, compd. with 2-dimethylaminoethanol",2001-3-1761,,,,,,,,,
29616,5392-28-9,YES,"Pyrimidinetetramine, sulfate(1:1)",2001-3-1760,,,,,,,,,
29617,28501-77-1,YES,"Hexanedioic acid polymer with N,N'-bis(2-aminoethyl)-1,2-ethanediamine, formaldehyde and urea",2001-3-1759,,,,,,,,,
29618,219916-65-1,YES,"4,4,15,15-Tetraethoxy-3,16-dioxa-8,9,10,11-tetrathia-4,15-disilaoctadecane reaction products with silica",2001-3-1758,,,,,,,,,
29619,,YES,"Siloxanes and silicones, di-Me, (3-(2-hydroxyethyl)propylether)siloxy-terminated",2001-3-1757,,,,,,,,,
29620,109909-39-9,YES,"α-Sulfo-ω-[2,4,6-tris(1-methylpropyl)phenoxy]-poly(oxy-1,2-ethanediyl), sodium salt",2001-3-1756,,,,,,,,,
29621,104376-81-0,YES,"Tannins, [(hydroxyethyl)amino]methyl derivs., hydrochlorides",2001-3-1755,,,,,,,,,
