ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
52584,70236-53-2,70236532,,,"Cuprate(3-), [2-[2-[4-[2-[6-[(4-amino-6-chloro-1,3,5-triazin-2-yl)methylamino]-1-(hydroxy-.kappa.O)-3-sulfo-2-naphthalenyl]diazenyl-.kappa.N1]-5-(hydroxy-.kappa.O)-2-methylphenyl]diazenyl]-1,4-benzenedisulfonato(5-)]-, sodium (1:3)",,,,ACTIVE
52585,70236-54-3,70236543,,,"Cuprate(3-), [4-amino-5-(hydroxy-.kappa.O)-6-[2-[2-(hydroxy-.kappa.O)-3-sulfo-5-[(2,5,6-trichloro-4-pyrimidinyl)amino]phenyl]diazenyl-.kappa.N1]-1,3-naphthalenedisulfonato(5-)]-, sodium (1:3)",,,,INACTIVE
52586,70236-55-4,70236554,,,"Chromate(2-), [1-[2-[2-(hydroxy-.kappa.O)-3,5-dinitrophenyl]diazenyl-.kappa.N1]-2-naphthalenolato(2-)-.kappa.O][3-(hydroxy-.kappa.O)-4-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-7-nitro-1-naphthalenesulfonato(3-)]-, sodium (1:2)",,,,ACTIVE
52587,70236-56-5,70236565,,,"Chromate(2-), [3-(hydroxy-.kappa.O)-4-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-7-nitro-1-naphthalenesulfonato(3-)][N-[7-(hydroxy-.kappa.O)-8-[2-[2-(hydroxy-.kappa.O)-5-nitrophenyl]diazenyl-.kappa.N1]-1-naphthalenyl]acetamidato(2-)]-, sodium (1:2)",,,,ACTIVE
52588,70236-57-6,70236576,,,"Chromate(2-), [3-(hydroxy-.kappa.O)-4-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-7-nitro-1-naphthalenesulfonato(3-)][1-[2-[2-(hydroxy-.kappa.O)-4-nitrophenyl]diazenyl-.kappa.N1]-2-naphthalenolato(2-)-.kappa.O]-, sodium (1:2)",,,,ACTIVE
52589,70236-59-8,70236598,,,"Cobaltate(1-), bis[6-(amino-.kappa.N)-5-[2-[2-(hydroxy-.kappa.O)-4-nitrophenyl]diazenyl-.kappa.N1]-N-methyl-2-naphthalenesulfonamidato(2-)]-, sodium (1:1)",,,,ACTIVE
52590,70236-60-1,70236601,,,"Chromate(2-), [2,4-dihydro-4-[2-[2-(hydroxy-.kappa.O)-5-nitrophenyl]diazenyl-.kappa.N1]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)-.kappa.O3][3-(hydroxy-.kappa.O)-4-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-7-nitro-1-naphthalenesulfonato(3-)]-, sodium (1:2)",,,,ACTIVE
52591,70236-61-2,70236612,,,"Chromate(2-), [2,4-dihydro-4-[2-[2-(hydroxy-.kappa.O)-5-nitrophenyl]diazenyl-.kappa.N1]-5-methyl-2-phenyl-3H-pyrazol-3-onato(2-)-.kappa.O3][2-(hydroxy-.kappa.O)-3-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-5-nitrobenzenesulfonato(3-)]-, sodium (1:2)",,,,ACTIVE
52592,70236-62-3,70236623,,,"Chromate(2-), [3-[4,5-dihydro-4-[2-[2-(hydroxy-.kappa.O)-5-nitrophenyl]diazenyl-.kappa.N1]-3-methyl-5-(oxo-.kappa.O)-1H-pyrazol-1-yl]benzenesulfonato(3-)][1-[2-[2-(hydroxy-.kappa.O)-5-(2-phenyldiazenyl)phenyl]diazenyl-.kappa.N1]-2-naphthalenolato(2-)-.kappa.O]-, sodium (1:2)",,,,ACTIVE
52593,70247-25-5,70247255,,,"[1,1'-Biphenyl]-4-carbonitrile, 4'-(decyloxy)-",,,,INACTIVE
52594,70247-68-6,70247686,,,"Benzenesulfonic acid, 4-chloro-3-[4-[2-[2-[(2-chlorophenoxy)sulfonyl]phenyl]diazenyl]-2,5-dihydro-5-imino-3-methyl-1H-pyrazol-1-yl]-, sodium salt (1:1)",,,,ACTIVE
52595,70247-69-7,70247697,,,"1-Naphthalenesulfonic acid, 4,4'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis[iminocarbonyl(2-hydroxy-4,1-phenylene)-2,1-diazenediyl]]bis[3-hydroxy-, sodium salt (1:2)",,,,INACTIVE
52596,70247-70-0,70247700,,,"Benzenesulfonic acid, 4-[4-[2-[5-[(2-bromo-1-oxo-2-propen-1-yl)amino]-2-sulfophenyl]diazenyl]-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl]-2,5-dichloro-, sodium salt (1:2)",,,,ACTIVE
52597,70247-71-1,70247711,,,"Cuprate(4-), [.mu.-[[2,2'-[carbonylbis[imino(2-sulfo-4,1-phenylene)-2,1-ethenediyl(3-sulfo-4,1-phenylene)[4,5-dihydro-3-methyl-5-(oxo-.kappa.O)-1H-pyrazole-1,4-diyl]-2,1-diazenediyl-.kappa.N1]]bis[benzoato-.kappa.O]](8-)]]di-, sodium (1:4)",,,,INACTIVE
52598,70247-72-2,70247722,,,"Cuprate(3-), [4-(hydroxy-.kappa.O)-5-[2-[1-(hydroxy-.kappa.O)-3-sulfo-6-[[4-[(2,5,6-trichloro-4-pyrimidinyl)amino]phenyl]amino]-2-naphthalenyl]diazenyl-.kappa.N1]-1,3-benzenedisulfonato(5-)]-, sodium (1:3)",,,,INACTIVE
52599,70247-74-4,70247744,,,"Cobaltate(1-), bis[N-(2-chlorophenyl)-2-[2-[2-(hydroxy-.kappa.O)-5-[(methylamino)sulfonyl]phenyl]diazenyl-.kappa.N1]-3-(oxo-.kappa.O)butanamidato(2-)]-, sodium (1:1)",,,,ACTIVE
52600,70247-75-5,70247755,,,"Chromate(2-), [5,8-dichloro-2-[2-[5-chloro-2-(hydroxy-.kappa.O)phenyl]diazenyl-.kappa.N1]-1-naphthalenolato(2-)-.kappa.O][4-(hydroxy-.kappa.O)-3-[2-[2-(hydroxy-.kappa.O)-4-nitrophenyl]diazenyl-.kappa.N1]-1-naphthalenesulfonato(3-)]-, sodium (1:2)",,,,INACTIVE
52601,70247-76-6,70247766,,,"Cobaltate(1-), bis[4-(hydroxy-.kappa.O)-3-[2-[2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-N-(2-methoxyethyl)benzenesulfonamidato(2-)]-, sodium (1:1)",,,,ACTIVE
52602,70247-77-7,70247777,,,"Chromate(1-), bis[5-(aminosulfonyl)-2-[2-[1-(3-chlorophenyl)-4,5-dihydro-3-methyl-5-(oxo-.kappa.O)-1H-pyrazol-4-yl]diazenyl-.kappa.N1]benzoato(2-)-.kappa.O]-, sodium (1:1)",,,,INACTIVE
52603,70247-79-9,70247799,,,"Hexanedioic acid, ester with 2,2-dimethyl-1,3-propanediol",,,,INACTIVE
52604,70247-80-2,70247802,,,"Acetic acid, zinc salt (2:1), reaction products with p-tert-butylphenol-formaldehyde polymer",,UVCB,XU,INACTIVE
52605,70247-81-3,70247813,,,"Ammonia, reaction products with phosphorus sulfide (P2S5)",,UVCB,,ACTIVE
52606,70247-82-4,70247824,,,"Antimony oxide (Sb2O3), reaction products with silica",,UVCB,,INACTIVE
52607,70247-83-5,70247835,,,"1,3-Butadiene, 2-methyl-, homopolymer, of cis-1,4-configuration, cyclized, phenol-modified",,UVCB,XU,ACTIVE
52608,70247-84-6,70247846,,,"Cuprate(4-), [.mu.-[[4,4'-[[3,3'-di(hydroxy-.kappa.O)[1,1'-biphenyl]-4,4'-diyl]bis(2,1-diazenediyl-.kappa.N1)]bis[3-(hydroxy-.kappa.O)-2,7-naphthalenedisulfonato]](8-)]]di-, sodium, compds. with diethanolamine",,UVCB,,INACTIVE
52609,70247-85-7,70247857,,,"Cuprate(4-), [.mu.-[[4,4'-[[3,3'-di(hydroxy-.kappa.O)[1,1'-biphenyl]-4,4'-diyl]bis(2,1-diazenediyl-.kappa.N1)]bis[3-(hydroxy-.kappa.O)-2,7-naphthalenedisulfonato]](8-)]]di-, sodium",,UVCB,,INACTIVE
52610,70247-86-8,70247868,,,"Ethanol, 2-amino-, compds. with polyethylene glycol mono-C4-18-alkyl ethers phosphates",,UVCB,XU,INACTIVE
52611,70247-87-9,70247879,,,"Ethanol, 2,2'-iminobis-, compds. with polyethylene glycol mono-C9-18-alkyl ethers phosphates",,UVCB,XU,ACTIVE
52612,70247-88-0,70247880,,,"Formaldehyde, polymer with 2-(chloromethyl)oxirane and phenol, brominated",,UVCB,XU,INACTIVE
52613,70247-89-1,70247891,,,"Formaldehyde, polymer with 4-dodecylphenol, 3-methylphenol and 4-methylphenol, reaction products with N,N-dibutyl-1-butanamine",,UVCB,XU,INACTIVE
52614,70247-90-4,70247904,,,"2,5-Furandione, homopolymer, sodium salt",,,XU,ACTIVE
52615,70247-91-5,70247915,,,"2,5-Furandione, polymer with ethenylbenzene, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol and 2,2'-[1,2-ethanediylbis(oxy)]bis[ethanol], benzyl ethers",,UVCB,XU,INACTIVE
52616,70247-92-6,70247926,,,"Guanidine, N,N'-diphenyl-, reaction products with sulfurized cis-1,4-polyisoprene",,UVCB,XU,INACTIVE
52617,70247-93-7,70247937,,,"Oxirane, 2-methyl-, polymer with oxirane, 1-ethoxyethyl nonylphenyl ether, branched",,UVCB,XU,ACTIVE
52618,70247-94-8,70247948,,,"2,4-Pentanedione, polymer with 2-(chloromethyl)oxirane and 4,4'-(1-methylethylidene)bis[phenol], 2-(dimethylamino)ethanol-quaternized, lactate (salt)",,UVCB,XU,INACTIVE
52619,70247-96-0,70247960,,,"1-Piperazineethanamine, reaction products with phenyloxirane and propylene oxide",,UVCB,,INACTIVE
52620,70247-97-1,70247971,,,"Poly(oxy-1,2-ethanediyl), .alpha.-[(2Z)-3-carboxy-1-oxo-2-propen-1-yl]-.omega.-hydroxy-, C20-26-alkyl esters, C8-18-alkyl ethers",,UVCB,XU,INACTIVE
52621,70247-98-2,70247982,,,"Poly(oxy-1,2-ethanediyl), .alpha.-[2-(dimethylamino)ethyl]-.omega.-[(1,1,3,3-tetramethylbutyl)phenoxy]-",,,XU,INACTIVE
52622,70247-99-3,70247993,,,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C4-18-alkyl ethers, phosphates, potassium salts",,UVCB,XU,ACTIVE
52623,70248-00-9,70248009,,,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[2-[bis(2-hydroxyethyl)amino]methylethyl]-.omega.-hydroxy-, ether with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl) (1:2), C8-18-alkyl ethers",,UVCB,XU,INACTIVE
52624,70248-01-0,70248010,,,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-hydro-.omega.-hydroxy-, polymer with 1,3-diisocyanatomethylbenzene, N1-cyclohexyl-1,3-propanediamine-terminated",,UVCB,XU,INACTIVE
52625,70248-02-1,70248021,,,"1-Propanamine, 3-methoxy-, compds. with oxidized polyethylene",,UVCB,XU,INACTIVE
52626,70248-03-2,70248032,,,"1,3-Propanediamine, N1-octadecyl-, reaction products with Bu glycidyl ether",,UVCB,,INACTIVE
52627,70248-04-3,70248043,,,"Propanoic acid, zinc salt (2:1), reaction products with p-tert-butylphenol-4-(1,1-dimethylpropyl)phenol-formaldehyde polymer, ammonium salts",,UVCB,XU,INACTIVE
52628,70248-05-4,70248054,,,"Propanoic acid, zinc salt (2:1), reaction products with formaldehyde-4-(1,1,3,3-tetramethylbutyl)phenol polymer, ammonium salts",,UVCB,XU,INACTIVE
52629,70248-06-5,70248065,,,"Propanoic acid, zinc salt (2:1), reaction products with formaldehyde-4-(1,1,3,3-tetramethylbutyl)phenol-4,4'-thiobis[phenol] polymer, ammonium salts",,UVCB,XU,INACTIVE
52630,70248-07-6,70248076,,,"2-Propenoic acid, 2-methyl-, butyl ester, telomer with tert-dodecanethiol, ethenylbenzene, ethyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-oxiranylmethyl 2-methyl-2-propenoate, reaction products with lactic acid and 2-(methylamino)ethanol",,UVCB,XU,INACTIVE
52631,70248-08-7,70248087,,,"2-Propenoic acid, 2-methyl-, methyl ester, telomer with tert-dodecanethiol, ethenylbenzene, ethyl 2-propenoate, 2-methylpropyl 2-methyl-2-propenoate and 2-oxiranylmethyl 2-methyl-2-propenoate, reaction products with lactic acid and 2-(methylamino)ethanol",,UVCB,XU,INACTIVE
52632,70248-09-8,70248098,,,C.I. Pigment Brown 37,"This substance is identified in the COLOUR INDEX by Colour Index Constitution Number, C.I. 77890.",,,INACTIVE
52633,70248-10-1,70248101,,,"Silicate(2-), hexafluoro-, ammonium (1:2), reaction products with silica",,UVCB,,INACTIVE
52634,70248-11-2,70248112,,,"Silicic acid (H2SiO3), sodium salt (1:?), reaction products with polyethylene glycol mono(nonylphenyl) ether and potassium hydroxide",,UVCB,XU,INACTIVE
52635,70248-12-3,70248123,,,"Starch, oxidized, hydrogen 2-(1-octen-1-yl)butanedioate",,UVCB,XU,INACTIVE
52636,70248-13-4,70248134,,,"Starch, reaction products with epichlorohydrin, dimethylamine-quaternized",,UVCB,XU,INACTIVE
52637,70248-14-5,70248145,,,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, mono-C6-10-alkyl ethers, phosphates",,UVCB,XU,ACTIVE
52638,70248-15-6,70248156,,,"Linseed oil, polymer with formaldehyde, glycerol, heavy thermal cracked petroleum naphtha, isophthalic acid, maleic anhydride, phenol, phthalic anhydride, rosin and soybean oil",,UVCB,XU,INACTIVE
52639,70248-16-7,70248167,,,"Linseed oil, polymer with formaldehyde, glycerol, heavy thermal cracked petroleum naphtha, isophthalic acid, maleic anhydride, phenol and rosin",,UVCB,XU,INACTIVE
52640,70248-17-8,70248178,,,"Linseed oil, polymer with glycerol, heavy thermal cracked petroleum naphtha, isophthalic acid, maleic anhydride, phthalic anhydride and soybean oil",,UVCB,XU,INACTIVE
52641,70248-18-9,70248189,,,"Linseed oil, polymer with heavy thermal cracked petroleum naphtha, isophthalic acid, pentaerythritol and rosin",,UVCB,XU,INACTIVE
52642,70248-19-0,70248190,,,"Naphtha (petroleum), heavy thermal cracked, polymer with glycerol, maleic anhydride and rosin",,UVCB,XU,INACTIVE
52643,70248-20-3,70248203,,,"Resin acids and Rosin acids, zinc salts, polymers with formaldehyde, glycerol, heavy thermal cracked naphtha, phenol and rosin",,UVCB,XU,INACTIVE
52644,70248-21-4,70248214,,,"Resin acids and Rosin acids, zinc salts, polymers with formaldehyde, glycerol, heavy thermal cracked petroleum naphtha, isophthalic acid, linseed oil, maleic anhydride, phenol and rosin",,UVCB,XU,INACTIVE
52645,70248-22-5,70248225,,,"Aldehydes, C5, trimers",,UVCB,,INACTIVE
52646,70248-23-6,70248236,,,"Amides, from C18-unsatd. fatty acid dimers and polyhexamethylenepolyamines",,UVCB,XU,ACTIVE
52647,70248-24-7,70248247,,,"Amides, from C18-unsatd. fatty acid dimers and polyhexamethylenepolyamines, ethoxylated",,UVCB,XU,INACTIVE
52648,70248-25-8,70248258,,,"Carboxylic acids, C6-18 and C6-18-unsatd. mono- and C8-15-di-",,UVCB,,ACTIVE
52649,70248-26-9,70248269,,,"Carboxylic acids, C6-18 and C6-18-unsatd. mono- and C8-15 di-, distn. residues","A complex residuum from the distillation of C6-18 saturated and unsaturated monobasic acids and C8-15 dibasic acids.  It consists predominantly of C9-18 saturated monobasic acids, C8-15 saturated dibasic acids.  Polymers, anhydrides, and polyesters may also be present.",UVCB,,INACTIVE
52650,70248-27-0,70248270,,,"Fatty acids, animal, distn. residues","A complex residuum from the distillation of mixed animal fatty acids.  It contains predominantly C16-18 fatty acid glycerides and sterols, oxidized polymeric materials, free fatty acids, and neutral materials.",UVCB,,ACTIVE
52651,70248-28-1,70248281,,,"Fatty acids, C16 and C18-unsatd. and C18-unsatd. hydroxy, polymers with benzoic acid, pentaerythritol, phthalic anhydride and tung oil",,UVCB,XU,INACTIVE
52652,70248-29-2,70248292,,,"Fatty acids, C18-unsatd., dimers, low-boiling fraction, distn. residues","A complex residuum from the distillation of the low-boiling products from the distillation of C18 unsaturated dimer acid.  It contains predominantly C36 dimer acid, C35 monobasic acids and C36 ester type materials.",UVCB,,INACTIVE
52653,70248-30-5,70248305,,,"Fatty acids, C18-unsatd., dimers, polymers with ethylenediamine, hexamethylenediamine and stearic acid",,UVCB,XU,INACTIVE
52654,70248-31-6,70248316,,,"Fatty acids, mixed tallow and vegetable-oil, distn. residues","A complex residuum from the distillation of mixed tallow and vegetable-oil fatty acids.  It consists primarily of linoleic acid, oleic acid, stearic acid and their glycerides and sterols.",UVCB,,ACTIVE
52655,70248-32-7,70248327,,,"Fatty acids, tall-oil, compds. with 2-(dimethylamino)ethanol and morpholine",,UVCB,,INACTIVE
52656,70248-34-9,70248349,,,"Fatty acids, tall oil, polymers with 9,11-octadecadienoic acid, 10,12-octadecadienoic acid, pentaerythritol and phthalic anhydride",,UVCB,XU,INACTIVE
52657,70248-35-0,70248350,,,"Fatty acids, wheat germ-oil, distn. residues",A complex residuum from the distillation of wheat germ-oil fatty acids.  It consists primarily of C16 and C18 saturated and unsaturated monobasic acids and their glycerides and sterols.  Polymeric and neutral material may also be present.,UVCB,,INACTIVE
52658,70248-36-1,70248361,,,"Linseed oil, polymer with formaldehyde, glycerol, isophthalic acid, maleic anhydride, phenol, phthalic anhydride, rosin and soybean oil",,UVCB,XU,INACTIVE
52659,70248-37-2,70248372,,,"Linseed oil, polymer with formaldehyde, glycerol, isophthalic acid, pentaerythritol, phenol, phthalic anhydride, rosin and soybean oil",,UVCB,XU,INACTIVE
52660,70248-38-3,70248383,,,"Linseed oil, polymer with formaldehyde, glycerol, isophthalic acid, phenol, phthalic anhydride, rosin and soybean oil",,UVCB,XU,INACTIVE
52661,70248-39-4,70248394,,,"Linseed oil, polymer with formaldehyde, glycerol, isophthalic acid, phenol, phthalic anhydride, rosin, soybean oil and TDI",,UVCB,XU,INACTIVE
52662,70248-40-7,70248407,,,"Linseed oil, polymer with glycerol, isophthalic acid, phthalic anhydride, rosin and soybean oil",,UVCB,XU,INACTIVE
52663,70248-41-8,70248418,,,"Oils, walnut, polymers with pentaerythritol, phthalic anhydride and trimethylolethane",,UVCB,XU,INACTIVE
52664,70248-42-9,70248429,,,"Resin acids and Rosin acids, esters with glycerol and pentaerythritol",,UVCB,,ACTIVE
52665,70248-43-0,70248430,,,"Resin acids and Rosin acids, polymd., zinc salts",,UVCB,XU,ACTIVE
52666,70248-44-1,70248441,,,"Rosin, fumarated, polymer with formaldehyde, glycerol, nonylphenol and pentaerythritol",,UVCB,XU,ACTIVE
52667,70248-45-2,70248452,,,"Rosin, fumarated, polymer with formaldehyde, pentaerythritol and 4-(1,1,3,3-tetramethylbutyl)phenol",,UVCB,XU,INACTIVE
52668,70248-46-3,70248463,,,"Rosin, maleated, polymer with formaldehyde, glycerol, nonylphenol and pentaerythritol",,UVCB,XU,ACTIVE
52669,70248-48-5,70248485,,,"Sulfonic acids, C8-18-alkane, 4-(1,1,3,3-tetramethylbutyl)phenyl esters",,UVCB,,INACTIVE
52670,70248-49-6,70248496,,,"Starch, polymer with 1,2-ethanediol and 2-methyloxirane",,,XU,INACTIVE
52671,70248-50-9,70248509,,,"2-Propenoic acid, 2-ethylhexyl ester, polymer with .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl), 2-hydroxyethyl 2-propenoate, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, 2-[[(methylamino)carbonyl]oxy]ethyl 2-propenoate and 2-oxepanone",,,XU,INACTIVE
52672,70248-52-1,70248521,,,"1-Propanaminium, N,N,N-trimethyl-3-[[(1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexyl)sulfonyl]amino]-, sulfate (2:1)",,,S,INACTIVE
52673,70248-53-2,70248532,,,"1,5-Naphthalenedisulfonic acid, 3,3'-[carbonylbis[imino(2-methyl-4,1-phenylene)-2,1-diazenediyl]]bis-, sodium salt, compd. with 2,2'-iminobis[ethanol] (1:?:?)",,,,INACTIVE
52674,70267-06-0,70267060,,,"1,3-Benzenedicarboxylic acid, polymer with 1,3-butanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, hexanedioic acid, .alpha.,.alpha.',.alpha.''-1,2,6-hexanetriyltris[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]], 1,1'-methylenebis[4-isocyanatocyclohexane] and .alpha.,.alpha.',.alpha.''-1,2,3-propanetriyltris[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]]",,,XU,INACTIVE
52675,70267-73-1,70267731,,,"1H-Benzimidazolesulfonic acid, 2-[7-(diethylamino)-2-oxo-2H-1-benzopyran-3-yl]-, sodium salt (1:1)",,,,ACTIVE
52676,70268-38-1,70268381,,,"1,3-Benzenediol, nitro-, lead(2+) salt (1:1)",,,,INACTIVE
52677,70268-41-6,70268416,,,"Pentanoic acid, manganese(2+) salt (2:1)",,,,INACTIVE
52678,70281-39-9,70281399,,,"Chromate(1-), [2-[2-[2-(hydroxy-.kappa.O)-5-(methylsulfonyl)phenyl]diazenyl-.kappa.N1]-3-(oxo-.kappa.O)-N-phenylbutanamidato(2-)][methyl N-[7-(hydroxy-.kappa.O)-8-[2-[2-(hydroxy-.kappa.O)-5-(methylsulfonyl)phenyl]diazenyl-.kappa.N1]-1-naphthalenyl]carbamato(2-)]-, sodium (1:1)",,,,INACTIVE
52679,70281-40-2,70281402,,,"Cobaltate(1-), bis[3-[2-[4,5-dihydro-3-methyl-1-(4-methylphenyl)-5-(oxo-.kappa.O)-1H-pyrazol-4-yl]diazenyl-.kappa.N1]-4-(hydroxy-.kappa.O)-N-methylbenzenesulfonamidato(2-)]-, sodium (1:1)",,,,INACTIVE
52680,70281-41-3,70281413,,,"Chromate(1-), [2-(3-chlorophenyl)-2,4-dihydro-4-[2-[2-(hydroxy-.kappa.O)-5-(methylsulfonyl)phenyl]diazenyl-.kappa.N1]-5-methyl-3H-pyrazol-3-onato(2-)-.kappa.O3][N-[7-(hydroxy-.kappa.O)-8-[2-[2-(hydroxy-.kappa.O)-5-(methylsulfonyl)phenyl]diazenyl-.kappa.N1]-1-naphthalenyl]acetamidato(2-)]-, sodium (1:1)",,,,INACTIVE
52681,70283-15-7,70283157,,,"9-Octadecenamide, N-(9-ethyl-9H-carbazol-3-yl)-, (9Z)-",,,PMN,ACTIVE
52682,70288-95-8,70288958,,,"Chromate(1-), [N-[3-[2-[8-(acetylamino)-2-(hydroxy-.kappa.O)-1-naphthalenyl]diazenyl-.kappa.N1]-2-(hydroxy-.kappa.O)-5-nitrophenyl]acetamidato(2-)][N-[7-(hydroxy-.kappa.O)-8-[2-[2-(hydroxy-.kappa.O)-5-[(methylamino)sulfonyl]phenyl]diazenyl-.kappa.N1]-1-naphthalenyl]acetamidato(2-)]-, sodium (1:1)",,,,INACTIVE
52683,70289-44-0,70289440,,,"Formaldehyde, polymer with phenol, acetate",,,XU,INACTIVE
52684,70289-45-1,70289451,,,"Formaldehyde, polymer with ethenylmethylbenzene and phenol, 4-methylbenzenesulfonate",,,XU,INACTIVE
52685,70289-46-2,70289462,,,"1,3-Isobenzofurandione, polymer with 2-(hydroxymethyl)-2-methyl-1,3-propanediol, nonanoate",,,XU,INACTIVE
52686,70289-47-3,70289473,,,"Cyclohexanol, 4,4'-(1-methylethylidene)bis-, polymer with 2-(chloromethyl)oxirane, neodecanoate",,,XU,INACTIVE
52687,70289-49-5,70289495,,,"Ethanaminium, 2-[[2-cyano-3-[4-(diethylamino)phenyl]-1-oxo-2-propen-1-yl]oxy]-N,N,N-trimethyl-, molybdatephosphate (1:1)",,,,INACTIVE
52688,70289-52-0,70289520,,,"Oxirane, 2-(chloromethyl)-, polymer with .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]], 2-methyl-2-propenoate 2-propenoate",,,XU,INACTIVE
52689,70290-02-7,70290027,,,"Hexanedioic acid, polymer with azacyclotridecan-2-one and .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl)",,,FRI; XU; Y1,ACTIVE
52690,70295-00-0,70295000,,,"Oxirane, 2-methyl-, polymer with oxirane, ether with 2,2'-thiobis[ethanol] (2:1)",,,XU,INACTIVE
52691,70304-36-8,70304368,,,"Cuprate(4-), [5-[2-[2,5-dimethyl-4-[2-(4-sulfophenyl)diazenyl]phenyl]oxidodiazenyl]-2-[2-[4-[2-[3-hydroxy-4-[2-(2-hydroxy-5-sulfophenyl)diazenyl]phenyl]oxidodiazenyl]-2-sulfophenyl]ethenyl]benzenesulfonato(6-)]-, sodium (1:4)",,,,ACTIVE
52692,70304-37-9,70304379,,,"Benzenesulfonic acid, 2,2'-(1,2-ethenediyl)bis[5-[2-[2-methoxy-5-methyl-4-[2-(4-sulfophenyl)diazenyl]phenyl]oxidodiazenyl]-, sodium salt (1:4)",,,,INACTIVE
52693,70304-38-0,70304380,,,"Cuprate(3-), [5-[2-[4-[2-(3-chloro-2-hydroxy-5-sulfophenyl)diazenyl]-3-hydroxyphenyl]oxidodiazenyl]-2-[2-(4-nitro-2-sulfophenyl)ethenyl]benzenesulfonato(5-)]-, sodium (1:3)",,,,ACTIVE
52694,70304-39-1,70304391,,,"Cuprate(4-), [2-[2-[4-[2-[5-hydroxy-4-[2-(2-hydroxy-5-sulfophenyl)diazenyl]-2-methoxyphenyl]oxidodiazenyl]-2-sulfophenyl]ethenyl]-5-[oxido-2-[4-[2-(4-sulfophenyl)diazenyl]phenyl]diazenyl]benzenesulfonato(6-)]-, sodium (1:4)",,,,INACTIVE
52695,70304-40-4,70304404,,,"Cuprate(4-), [.mu.-[[2,2'-(1,2-ethenediyl)bis[5-[2-[5-(hydroxy-.kappa.O)-4-[2-[2-(hydroxy-.kappa.O)-5-sulfophenyl]diazenyl-.kappa.N1]-2-methoxyphenyl]oxidodiazenyl]benzenesulfonato]](8-)]]di-, sodium (1:4)",,,,ACTIVE
52696,70304-68-6,70304686,,,"Formaldehyde, polymer with 2-(chloromethyl)oxirane, 4,4'-(1-methylethylidene)bis[phenol] and phenol, ammonium salt",,,XU,INACTIVE
52697,70304-69-7,70304697,,,"Formaldehyde, polymer with benzenamine, methylphenol and phenol, ammonium salt",,,XU,INACTIVE
52698,70321-54-9,70321549,,,"Calcium, decanoate octanoate complexes",,UVCB,,INACTIVE
52699,70321-55-0,70321550,,,"Lead, decanoate octanoate complexes",,UVCB,,INACTIVE
52700,70321-56-1,70321561,,,"Alcohols, C12-15, ethers with polyethylene glycol monobenzyl ether",,UVCB,XU,INACTIVE
52701,70321-57-2,70321572,,,"Fatty acids, linseed-oil, polymers with dipentaerythritol, glycerol, maleic anhydride, pentaerythritol and tall-oil fatty acids",,UVCB,XU,INACTIVE
52702,70321-58-3,70321583,,,"Fatty acids, tall-oil, polymers with dimerized rosin, dipentaerythritol, maleic anhydride, pentaerythritol and rosin",,UVCB,XU,INACTIVE
52703,70321-59-4,70321594,,,"Linseed oil, polymer with bisphenol A, formaldehyde, rosin and tung oil",,UVCB,XU,INACTIVE
52704,70321-60-7,70321607,,,"Fatty acids, tall-oil, polymers with bisphenol A, epichlorohydrin and maleic anhydride, compds. with 2-(dimethylamino)ethanol and triisopropanolamine",,UVCB,XU,INACTIVE
52705,70321-61-8,70321618,,,"Castor oil, dehydrated, polymer with p-tert-butylbenzoic acid, isophthalic acid, pentaerythritol, phthalic anhydride and polyethylene glycol, compd. with triethylamine",,UVCB,XU,INACTIVE
