ID,CASRN,casregno,UID,EXP,ChemName,DEF,UVCB,FLAG,ACTIVITY
81,54-28-4,54284,,,"2H-1-Benzopyran-6-ol, 3,4-dihydro-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-, (2R)-",,,,ACTIVE
82,54-35-3,54353,,,"4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]- (2S,5R,6R)-, compd. with 2-(diethylamino)ethyl 4-aminobenzoate (1:1)",,,,ACTIVE
83,54-42-2,54422,,,"Uridine, 2'-deoxy-5-iodo-",,,,ACTIVE
84,54-47-7,54477,,,"4-Pyridinecarboxaldehyde, 3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]-",,,,ACTIVE
85,54-62-6,54626,,,"L-Glutamic acid, N-[4-[[(2,4-diamino-6-pteridinyl)methyl]amino]benzoyl]-",,,,ACTIVE
86,54-64-8,54648,,,"Mercurate(1-), ethyl[2-(mercapto-.kappa.S)benzoato(2-)-.kappa.O]-, sodium (1:1)",,,,ACTIVE
87,54-71-7,54717,,,"2(3H)-Furanone, 3-ethyldihydro-4-[(1-methyl-1H-imidazol-5-yl)methyl]-, hydrochloride (1:1), (3S,4R)-",,,,ACTIVE
88,54-85-3,54853,,,"4-Pyridinecarboxylic acid, hydrazide",,,,ACTIVE
89,54-86-4,54864,,,"3-Pyridinecarboxylic acid, sodium salt (1:1)",,,,ACTIVE
90,54-95-5,54955,,,"5H-Tetrazolo[1,5-a]azepine, 6,7,8,9-tetrahydro-",,,,ACTIVE
91,55-03-8,55038,,,"L-Tyrosine, O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-, sodium salt (1:1)",,,,INACTIVE
92,55-10-7,55107,,,"Benzeneacetic acid, .alpha.,4-dihydroxy-3-methoxy-",,,,ACTIVE
93,55-18-5,55185,,,"Ethanamine, N-ethyl-N-nitroso-",,,,ACTIVE
94,55-21-0,55210,,,Benzamide,,,,ACTIVE
95,55-22-1,55221,,,4-Pyridinecarboxylic acid,,,,ACTIVE
96,55-48-1,55481,,,"Benzeneacetic acid, .alpha.-(hydroxymethyl)- (3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl ester, sulfate (2:1)",,,,INACTIVE
97,55-55-0,55550,,,"Phenol, 4-(methylamino)-, sulfate (2:1)",,,,ACTIVE
98,55-56-1,55561,,,"2,4,11,13-Tetraazatetradecanediimidamide, N1,N14-bis(4-chlorophenyl)-3,12-diimino-",,,PMN,ACTIVE
99,55-57-2,55572,,,"Imidodicarbonimidic diamide, N-phenyl-, hydrochloride (1:1)",,,,INACTIVE
100,55-63-0,55630,,,"1,2,3-Propanetriol, 1,2,3-trinitrate",,,,ACTIVE
101,55-68-5,55685,,,"Mercury, (nitrato-.kappa.O)phenyl-",,,,ACTIVE
102,55-80-1,55801,,,"Benzenamine, N,N-dimethyl-4-[2-(3-methylphenyl)diazenyl]-",,,,INACTIVE
103,55-81-2,55812,,,"Benzeneethanamine, 4-methoxy-",,,,ACTIVE
104,55-91-4,55914,,,"Phosphorofluoridic acid, bis(1-methylethyl) ester",,,,ACTIVE
105,55-97-0,55970,,,"1,6-Hexanediaminium, N1,N1,N1,N6,N6,N6-hexamethyl-, bromide (1:2)",,,PMN,ACTIVE
106,56-04-2,56042,,,"4(1H)-Pyrimidinone, 2,3-dihydro-6-methyl-2-thioxo-",,,S,ACTIVE
107,56-05-3,56053,,,"2-Pyrimidinamine, 4,6-dichloro-",,,,ACTIVE
108,56-06-4,56064,,,"4(3H)-Pyrimidinone, 2,6-diamino-",,,,ACTIVE
109,56-09-7,56097,,,"4(3H)-Pyrimidinone, 2-amino-6-hydroxy-",,,,ACTIVE
110,56-10-0,56100,,,"Carbamimidothioic acid, 2-aminoethyl ester, hydrobromide (1:2)",,,,ACTIVE
111,56-12-2,56122,,,"Butanoic acid, 4-amino-",,,,ACTIVE
112,56-17-7,56177,,,"Ethanamine, 2,2'-dithiobis-, hydrochloride (1:2)",,,,ACTIVE
113,56-18-8,56188,,,"1,3-Propanediamine, N1-(3-aminopropyl)-",,,,ACTIVE
114,56-23-5,56235,,,"Methane, tetrachloro-",,,,ACTIVE
115,56-25-7,56257,,,"4,7-Epoxyisobenzofuran-1,3-dione, hexahydro-3a,7a-dimethyl-, (3aR,4S,7R,7aS)-rel-",,,,ACTIVE
116,56-33-7,56337,,,"Disiloxane, 1,1,3,3-tetramethyl-1,3-diphenyl-",,,,ACTIVE
117,56-34-8,56348,,,"Ethanaminium, N,N,N-triethyl-, chloride (1:1)",,,,ACTIVE
118,56-35-9,56359,,,"Distannoxane, 1,1,1,3,3,3-hexabutyl-",,,,ACTIVE
119,56-37-1,56371,,,"Benzenemethanaminium, N,N,N-triethyl-, chloride (1:1)",,,,ACTIVE
120,56-40-6,56406,,,Glycine,,,TP,ACTIVE
121,56-41-7,56417,,,L-Alanine,,,,ACTIVE
122,56-45-1,56451,,,L-Serine,,,,ACTIVE
123,56-49-5,56495,,,"Benz[j]aceanthrylene, 1,2-dihydro-3-methyl-",,,S,ACTIVE
124,56-53-1,56531,,,"Phenol, 4,4'-[(1E)-1,2-diethyl-1,2-ethenediyl]bis-",,,S,ACTIVE
125,56-54-2,56542,,,"Cinchonan-9-ol, 6'-methoxy-, (9S)-",,,,INACTIVE
126,56-55-3,56553,,,Benz[a]anthracene,,,,ACTIVE
127,56-65-5,56655,,,Adenosine 5'-(tetrahydrogen triphosphate),,,,ACTIVE
128,56-69-9,56699,,,"Tryptophan, 5-hydroxy-",,,,INACTIVE
129,56-73-5,56735,,,"D-Glucose, 6-(dihydrogen phosphate)",,,,INACTIVE
130,56-75-7,56757,,,"Acetamide, 2,2-dichloro-N-[(1R,2R)-2-hydroxy-1-(hydroxymethyl)-2-(4-nitrophenyl)ethyl]-",,,,ACTIVE
131,56-81-5,56815,,,"1,2,3-Propanetriol",,,,ACTIVE
132,56-82-6,56826,,,"Propanal, 2,3-dihydroxy-",,,,ACTIVE
133,56-84-8,56848,,,L-Aspartic acid,,,,ACTIVE
134,56-85-9,56859,,,L-Glutamine,,,,ACTIVE
135,56-86-0,56860,,,L-Glutamic acid,,,,ACTIVE
136,56-87-1,56871,,,L-Lysine,,,,ACTIVE
137,56-89-3,56893,,,L-Cystine,,,,ACTIVE
138,56-92-8,56928,,,"1H-Imidazole-5-ethanamine, hydrochloride (1:2)",,,,ACTIVE
139,56-93-9,56939,,,"Benzenemethanaminium, N,N,N-trimethyl-, chloride (1:1)",,,,ACTIVE
140,57-00-1,57001,,,"Glycine, N-(aminoiminomethyl)-N-methyl-",,,,ACTIVE
141,57-03-4,57034,,,"1,2,3-Propanetriol, 1-(dihydrogen phosphate)",,,,ACTIVE
142,57-04-5,57045,,,"2-Propanone, 1-hydroxy-3-(phosphonooxy)-",,,,INACTIVE
143,57-06-7,57067,,,"1-Propene, 3-isothiocyanato-",,,,ACTIVE
144,57-09-0,57090,,,"1-Hexadecanaminium, N,N,N-trimethyl-, bromide (1:1)",,,,ACTIVE
145,57-10-3,57103,,,Hexadecanoic acid,,,TP,ACTIVE
146,57-11-4,57114,,,Octadecanoic acid,,,,ACTIVE
147,57-12-5,57125,,,Cyanide,,,,ACTIVE
148,57-13-6,57136,,,Urea,,,,ACTIVE
149,57-14-7,57147,,,"Hydrazine, 1,1-dimethyl-",,,,ACTIVE
150,57-15-8,57158,,,"2-Propanol, 1,1,1-trichloro-2-methyl-",,,,ACTIVE
151,57-24-9,57249,,,Strychnidin-10-one,,,,ACTIVE
152,57-37-4,57374,,,"Benzeneacetic acid, .alpha.-hydroxy-.alpha.-phenyl-, 2-(diethylamino)ethyl ester, hydrochloride (1:1)",,,,INACTIVE
153,57-39-6,57396,,,"Aziridine, 1,1',1''-phosphinylidynetris[2-methyl-",,,,ACTIVE
154,57-40-9,57409,,,"Aziridine, 1,1'-(phenylphosphinylidene)bis[2-methyl-",,,,INACTIVE
155,57-47-6,57476,,,"Pyrrolo[2,3-b]indol-5-ol, 1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethyl-, 5-(N-methylcarbamate), (3aS,8aR)-",,,,ACTIVE
156,57-48-7,57487,,,D-Fructose,,,,ACTIVE
157,57-50-1,57501,,,".alpha.-D-Glucopyranoside, .beta.-D-fructofuranosyl",,,,ACTIVE
158,57-53-4,57534,,,"1,3-Propanediol, 2-methyl-2-propyl-, 1,3-dicarbamate",,,,ACTIVE
159,57-55-6,57556,,,"1,2-Propanediol",,,,ACTIVE
160,57-56-7,57567,,,Hydrazinecarboxamide,,,,ACTIVE
161,57-57-8,57578,,,2-Oxetanone,,,,ACTIVE
162,57-62-5,57625,,,"2-Naphthacenecarboxamide, 7-chloro-4-(dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-, (4S,4aS,5aS,6S,12aS)-",,,,ACTIVE
163,57-63-6,57636,,,"19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol, (17.alpha.)-",,,,ACTIVE
164,57-64-7,57647,,,"Benzoic acid, 2-hydroxy-, compd. with (3aS,8aR)-1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethylpyrrolo[2,3-b]indol-5-yl N-methylcarbamate (1:1)",,,,ACTIVE
165,57-66-9,57669,,,"Benzoic acid, 4-[(dipropylamino)sulfonyl]-",,,,ACTIVE
166,57-67-0,57670,,,"Benzenesulfonamide, 4-amino-N-(aminoiminomethyl)-",,,,ACTIVE
