CAS Number,CAS Name,Name,Approval
1310-65-2,Lithium hydroxide (Li(OH)),Lithium hydroxide,Does not have an individual approval but may be used under an appropriate group standard
1310-66-3,"Lithium hydroxide (Li(OH)), monohydrate","Lithium hydroxide, monohydrate",Does not have an individual approval but may be used under an appropriate group standard
13106-76-8,"Molybdate (MoO42-), diammonium, (T-4)-","Molybdate, diammonium",Does not have an individual approval but may be used under an appropriate group standard
1310-73-2,Sodium hydroxide (Na(OH)),Sodium hydroxide,HSNO Approval: HSR001547 Approved with controls
131081-39-5,"Siloxanes and Silicones, (2-hydroxy-1-oxopropyl)oxy Me, hydroxy-terminated","Siloxanes and Silicones, (2-hydroxy-1-oxopropyl)oxy Me, hydroxy-terminated",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
13108-52-6,"Pyridine, 2,3,5,6-tetrachloro-4-(methylsulfonyl)-","Pyridine, 2,3,5,6-tetrachloro-4-(methylsulfonyl)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131-08-8,"2-Anthracenesulfonic acid, 9,10-dihydro-9,10-dioxo-, sodium salt","2-Anthracenesulfonic acid, 9,10-dihydro-9,10-dioxo-, sodium salt",Does not have an individual approval but may be used under an appropriate group standard
13109-70-1,"Butanoic acid, (1R,2S,4R)-1,7,7-trimethylbicyclo[2.2.1]hept-2-yl ester, rel-","Butanoic acid, (1R,2S,4R)-1,7,7-trimethylbicyclo2.2.1hept-2-yl ester, rel-",Does not have an individual approval but may be used under an appropriate group standard
131-09-9,"9,10-Anthracenedione, 2-chloro-",2-Chloroanthraquinone,Does not have an individual approval but may be used under an appropriate group standard
1311-10-0,"Strontium hydroxide (Sr(OH)2), octahydrate","Strontium hydroxide, octahydrate",Does not have an individual approval but may be used under an appropriate group standard
131-11-3,"1,2-Benzenedicarboxylic acid, dimethyl ester",Dimethylphthalate,Does not have an individual approval but may be used under an appropriate group standard
13114-27-7,"2-Buten-1-ol, 2-methyl-4-(1H-purin-6-ylamino)-","2-Buten-1-ol, 2-methyl-4-(1H-purin-6-ylamino)-",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131-15-7,"1,2-Benzenedicarboxylic acid, bis(1-methylheptyl) ester","1,2-Benzenedicarboxylic acid, bis(1-methylheptyl) ester",Does not have an individual approval but may be used under an appropriate group standard
13115-71-4,"L-Glutamine, glycyl-","L-Glutamine, glycyl-",Does not have an individual approval but may be used under an appropriate group standard
131-16-8,"1,2-Benzenedicarboxylic acid, 1,2-dipropyl ester",Dipropyl phthalate,Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
131-17-9,"1,2-Benzenedicarboxylic acid, di-2-propenyl ester",Diallyl phthalate,Does not have an individual approval but may be used under an appropriate group standard
131-18-0,"1,2-Benzenedicarboxylic acid, dipentyl ester","1,2-Benzenedicarboxylic acid, dipentyl ester",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1312012-68-2,"2,5-Furandione, dihydro-, monopolyisobutylene derivs., reaction products with N1,N1-dimethyl-1,3-propanediamine, propoxylated","2,5-Furandione, dihydro-, monopolyisobutylene derivs., reaction products with N1,N1-dimethyl-1,3-propanediamine, propoxylated",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
1312021-45-6,"Fatty acids, C10-12, esters with polylactic acid, sodium salts","Fatty acids, C10-C12, esters with polylactic acid, sodium salts",Does not have an individual approval but may be used as a component in a product covered by a group standard. It is not approved for use as a chemical in its own right.
13122-18-4,"Hexaneperoxoic acid, 3,5,5-trimethyl-, 1,1-dimethylethyl ester","Hexaneperoxoic acid, 3,5,5-trimethyl-, 1,1-dimethylethyl ester",Does not have an individual approval but may be used under an appropriate group standard
13123-35-8,"L-Leucine, L-tryptophyl-","L-Leucine, L-tryptophyl-",Does not have an individual approval but may be used under an appropriate group standard
1312-43-2,Indium oxide (In2O3),Indium oxide (In2O3),Does not have an individual approval but may be used under an appropriate group standard
131252-82-9,"Ethanol, 2,2',2''-nitrilotris-, compd. with 2,2'-oxybis[ethanol] octadecenylbutanedioate","Ethanol, 2,2',2''-nitrilotris-, compd. with 2,2'-oxybis[ethanol] octadecenylbutanedioate",Does not have an individual approval but may be used under an appropriate group standard
131252-83-0,"Dodecanedioic acid, diisohexadecyl ester","Dodecanedioic acid, diisohexadecyl ester",Does not have an individual approval but may be used under an appropriate group standard
13127-18-9,"Erythromycin, 9-oxime","Erythromycin, 9-oxime",Does not have an individual approval but may be used under an appropriate group standard
1312-73-8,Potassium sulfide (K2S),Potassium sulfide (K2S),Does not have an individual approval but may be used under an appropriate group standard
1312-76-1,"Silicic acid, potassium salt",Potassium silicate,Does not have an individual approval but may be used under an appropriate group standard
