CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
10034,6192-52-5,"Benzenesulfonic acid, 4-methyl-, monohydrate",,C7H8O3S.H2O,,,,
10035,6196-95-8,"Benzene, 1,2-dimethyl-4-(1-phenylethyl)-",,C16H18,,,,
10036,6197-30-4,"2-Propenoic acid, 2-cyano-3,3-diphenyl-, 2-ethylhexyl ester",,C24H27NO2,,,,
10039,6211-16-1,"L-Ornithine, dihydrochloride",,C5H12N2O2.2ClH,,,,
1004,77-54-3,"1H-3a,7-Methanoazulen-6-ol, octahydro-3,6,8,8-tetramethyl-, 6-acetate, (3R,3aS,6R,7R,8aS)-",,C17H28O2,,,,
10040,6211-24-1,"Benzenesulfonic acid, 4-(phenylamino)-, barium salt (2:1)",,C12H11NO3S.1/2Ba,,,,
10041,6217-19-2,"Benzenediazonium, 4-(diethylamino)-, trichlorozincate(1-)",,C10H14N3.Cl3Zn,,,,
10042,6219-67-6,"1,3-Benzenediamine, 4-methoxy-, sulfate",,C7H10N2O.xH2O4S,,,,
10043,6219-71-2,"1,4-Benzenediamine, 2-chloro-, sulfate",,C6H7ClN2.xH2O4S,,,,
10044,6219-73-4,"1,4-Benzenediamine, N,N-dimethyl-, sulfate",,C8H12N2.xH2O4S,,,,
10045,6219-77-8,"1,2-Benzenediamine, 4-nitro-, dihydrochloride",,C6H7N3O2.2ClH,,,,
10046,6221-92-7,"Cyclododecanol, acetate",,C14H26O2,,,,
10047,6221-95-0,"1-Tetradecanol, propanoate",,C17H34O2,,,,
10048,6222-35-1,"Propanoic acid, cyclohexyl ester",,C9H16O2,,,,
10049,6223-78-5,"Hexane, 2,5-dichloro-2,5-dimethyl-",,C8H16Cl2,,,,
1005,77-58-7,"Stannane, dibutylbis[(1-oxododecyl)oxy]-",,C32H64O4Sn,,,,
10050,6226-79-5,"2,7-Naphthalenedisulfonic acid, 3-hydroxy-4-[[2-sulfo-4-[(4-sulfophenyl)azo]phenyl]azo]-, tetrasodium salt",,C22H16N4O13S4.4Na,,,,
10051,6226-87-5,"1,3-Naphthalenedisulfonic acid, 7-hydroxy-8-[[4-(phenylazo)phenyl]azo]-, compound with N-cyclohexylcyclohexanamine",,C22H16N4O7S2.xC12H23N,,,,
10052,6227-10-7,"2-Naphthalenesulfonic acid, 3-[[4-[(2,4-dimethyl-6-sulfophenyl)azo]-2,5-dimethylphenyl]azo]-4-hydroxy-7-(phenylamino)-,disodium salt",,C32H29N5O7S2.2Na,,,,
10053,6227-14-1,"2-Naphthalenesulfonic acid, 4-hydroxy-3-[[2-methoxy-5-methyl-4-[(4-sulfophenyl)azo]phenyl]azo]-7-(phenylamino)-, disodium salt",,C30H25N5O8S2.2Na,,,,
10054,6227-16-3,"2-Naphthalenesulfonic acid, 3-[[4-[(4-amino-2-sulfophenyl)azo]-2-methoxy-5-methylphenyl]azo]-4-hydroxy-7-(phenylamino)-, disodium salt",,C30H26N6O8S2.2Na,,,,
10055,6227-20-9,"1,5-Naphthalenedisulfonic acid, 3-[[4-[[1-hydroxy-6-(phenylamino)-3-sulfo-2-naphthalenyl]azo]-5-methoxy-2-methylphenyl]azo]-, trisodium salt",,C34H27N5O11S3.3Na,,,,
