CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
36179,114747-45-4,"Spiro[2H-indole-2,3'-(3H)naphth[2,1-b][1,4]oxazine], 1,3-dihydro-1,3,3-trimethyl-6'-(1-piperidinyl)-",,C27H29N3O,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
3618,127-41-3,"3-Buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (E)-",,C13H20O,,,,
36180,114764-54-4,"2,7-Napthalenedisulfonic acid, 5-[[4-fluoro-6-(4-morpholinyl)-1,3,5-triazin-2-yl]amino]-4-hydroxy-3-[(1-sulfo-2-napthalenyl)azo]-, potassium sodium salt",,C27H22FN7O11S3.xK.xNa,,,,
36181,114764-55-5,"2-Oxepanone, polymer with 5-amino-1,3,3-trimethylcyclohexanemethanamine, 4,4'-methylenebis[cyclohexanamine] and 1,1'-methylenebis[4-isocyanatocyclohexane]",,(C15H22N2O2.C13H26N2.C10H22N2.C6H10O2)x,,,,
36182,114792-68-6,"Benzene, trimethylbis(phenylmethyl)-",,C23H24,,,,
36183,114819-25-9,"1-Naphthalenesulfonic acid, 6-diazo-5,6-dihydro-5-oxo-, methylphenyl ester, polymer with formaldehyde",,(C17H12N2O4S.CH2O)x,,,,
36184,114866-51-2,"1,4-Benzenedicarboxylic acid, polymer with [1,1'-biphenyl]-2,5-diol and 4-hydroxybenzoic acid",,(C12H10O2.C8H6O4.C7H6O3)x,,,,
36185,114949-24-5,Additol XL-480,,,,,,
36186,114974-91-3,"2-Propenoic acid, 2-methyl-, (3,10-dioxo-2,5,8,11-tetraoxododecane-1,12-diyl)bis[(octahydro-4,7-methano-1H-indenediyl)methylene] ester",,C38H54O10,,,,
36187,114978-22-2,"Poly[oxy(1-oxo-1,2-ethanediyl)oxy-1,2-ethanediyloxy(2-oxo-1,2-ethanediyl)oxymethylene(octahydro-4,7-methano-1H-indenediyl)methylene], .alpha.-[[octahydro[[(2-methyl-1-oxo-2-propenyl)oxy]methyl]-4,7-methano-1H-indenyl]methyl]-.omega.-[(2-methyl-1-oxo-2-propenyl)oxy]-",,(C18H26O6)nC20H28O4,,,,
36188,115007-10-8,"1H-Pyrazolo[5,1-c]-1,2,4-triazole, 7-chloro-3-[2-[(2-hexyldecyl)sulfonyl]ethyl]-6-methyl-",,C23H41ClN4O2S,,,,
36189,115035-41-1,"Benzenesulfonic acid, 3,5-dichloro-2-[[5-cyano-2,6-bis[(3-hydroxypropyl)amino]-4-methyl-3-pyridinyl]azo]-, monosodium salt",,C19H22Cl2N6O5S.Na,,,,
3619,127-42-4,"1-Penten-3-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, [R-(E)]-",,C14H22O,,,,
36190,115035-48-8,"Silanetriol, propyl-, potassium salt",,C3H10O3Si.xK,,,,
36191,115035-49-9,"Phosphorus acid, oxybis (methyl-2,1-ethanediyl) triisodecylphenyl ester",,C42H80O7P2,,,,
36192,115047-91-1,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-(dimethylsilylene)bis[.omega.-(2-propenyloxy)-",,(C2H4O)n(C2H4O)nC8H16O2Si,,,,
36193,115047-92-2,"Poly(oxy-1,2-ethanediyl), .alpha.-(2-methyl-1-oxo-2-propenyl)-.omega.-(docosyloxy)-",,(C2H4O)nC26H50O2,,,,
36194,115047-93-3,"1,3-Benzenedicarboxylic acid, polymer with (E)-2-butenedioic acid, 1,1'-oxybis[2-propanol] and 1,2-propanediol",,(C8H6O4.C6H14O3.C4H4O4.C3H8O2)x,,,,
36195,67989-07-5,"1,3-Isobenzofurandione, polymer with 2,5-furandione and 1,2-propanediol, benzoate",,(C8H4O3.C7H6O2.C4H2O3.C3H8O2)x,,,,
36196,115047-95-5,"Octadecanoic acid, polymer with 2,5-furandione, 1,3-isobenzofurandione and 1,1'-oxybis[2-propanol]",,(C18H36O2.C8H4O3.C6H14O3.C4H2O3)x,,,,
36197,115047-96-6,"1,3-Benzenedicarboxylic acid, polymer with (chloromethyl)oxirane, 2,5-furandione, 4,4'-(1-methylethylidene)bis(phenol) and 1,2-propanediol, block",,(C15H16O2.C8H6O4.C4H2O3.C3H8O2.C3H5ClO)x,,,,
36198,115047-97-7,"1,2-Ethanediol, polymer with (chloromethyl)oxirane, 2,5-furandione, 4,4'-(1-methylethylidene)bis(phenol) and 1,1'-((1-methylethylidene)bis(4,1-phenyleneoxy))bis(2-propanol) , block",,(C21H28O4.C15H16O2.C4H2O3.C3H5ClO.C2H6O2)x,,,,
36199,115099-54-2,"1H-Indole, 3,3',3'',3'''-(5-methoxy-2,6-dimethyl-1,3,6-heptatriene-1,7-diylidene)tetrakis(1-methyl-2-phenyl-",,C70H60N4O,,,,
362,,"Naphthenic acid, reaction products with diethylenetriamine, triethylenetetramine, ethylene oxide and oleic acid",,,,,,
3620,127-43-5,"1-Penten-3-one, 1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",,C14H22O,,,,
36200,160170-74-1,"Pyridinium, 1-[4-[[3-(acetylamino)-4-[2-[4-[2-(4-nitro-2-sulfophenyl)ethenyl]-3-sulfophenyl]diazenyl]phenyl]amino]-6-[(2,5-disulfophenyl)amino]-1,3,5-triazin-2-yl]-3-carboxy-, inner salt, sodium salt (1:4)",,C37H29N10O17S4.HO.4Na,,,,
36201,115099-58-6,"2-Naphthalenesulfonic acid, 3-[[5-(acetylamino)-4-[[4-[[4,6-bis[[3-(diethylamino)propyl]amino]-1,3,5-triazin-2-yl]amino]phenyl]azo]-2-(2-methoxyethoxy)phenyl]azo]-6-amino-4-hydroxy-",,C44H60N14O7S,,,,
36202,115099-61-1,"2,7-Naphthalenedisulfonic acid, 4-amino-3,6-bis[[5-[[4-chloro-6-[(4-sulfophenyl)amino]-1,3,5-triazin-2-yl]amino]-2-sulfophenyl]azo]-5-hydroxy-, hexasodium salt",,C40H29Cl2N15O19S6.6Na,,,,
36203,115128-23-9,"2H-Tetrazolium, 2-(4-ethylphenyl)-3,5-diphenyl-, chloride",,C21H19N4.Cl,,,,
36204,115144-58-6,"Phosphorodithioic acid, O-ethyl O-(1-methylethyl) ester, sodium salt",,C5H13O2PS2.Na,,,,
36205,115146-43-5,"Silane, dichlorohexenylmethyl-",,C7H14Cl2Si,,,,
36206,115172-27-5,"1,2,4-Benzenetricarboxylic acid, tris(2-ethylhexyl) ester, polymer with 1,4-benzenedicarboxylic acid, .alpha., .alpha.'-[(1-methylethylidene) di-4,1-phenylene]bis[.omega.-hydroxypoly (oxy-1,2-ethanediyl)] and .alpha., .alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]]",,(C33H54O6.C8H6O4.(C3H6O)n(C3H6O)nC15H16O2.(C2H4O)n(C2H4O)nC15H16O2)x,,,,
36207,115218-82-1,"2-Propenoic acid, 2-methyl-, 2-ethylhexyl ester, polymer with diethenylbenzene and 2-methylpropyl 2-methyl-2-propenoate",,(C12H22O2.C10H10.C8H14O2)x,,,,
36208,115241-77-5,"Acetamide, 2-[2,4-bis(1,1-dimethylpropyl)phenoxy]-N,N-diethyl-",,C22H37NO2,,,,
36209,115271-29-9,"Butanoic acid, 3-oxo-, ethyl ester, polymer with 2,2-dimethyl-1,3-propanediol and 2-propanol, aluminium salt",,(C6H10O3.C5H12O2.C3H8O.1/3Al)x,,,,
3621,127-47-9,"Retinol, acetate",,C22H32O2,,,,
36210,115271-31-3,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with N-(2-aminoethyl)-1,2-ethanediamine, 2,2-dimethyl-1,3-propanediol, diphenyl carbonate, 1,2-ethanediamine, 1,6-hexanediol, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane and 1,1'-methylenebis[4-isocyanatocyclohexane], compound with N,N-diethylethanamine, polyethylenepolypropylene glycol monobutyl ether blocked",,Unspecified,,,,
36211,115310-63-9,"[1,1'-Biphenyl]-4,4'-diamine, N4,N4'-bis(4-ethylphenyl)-3,3'-dimethyl-N4,N4'-bis(4-methylphenyl)-",,C44H44N2,,,,
36212,115323-00-7,"2-Propenamide, N,N',N''-[1,2,3-propanetriyltris(oxymethylene)]tris[2-methyl-",,C18H29N3O6,,,,
36213,115323-01-8,"2-Propenamide, N-[[2,2-bis(hydroxymethyl)butoxy]methyl]-",,C10H19NO4,,,,
36214,115323-02-9,"Hexanedioic acid, polymer with N-(2-aminoethyl)-1,2-ethanediamine, (chloromethyl)oxirane and formic acid",,(C6H10O4.C4H13N3.C3H5ClO.CH2O2)x,,,,
36215,115323-03-0,"1,2-Benzenedicarboxylic acid, di-2-propenyl ester, polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, 1,2-ethanediol, 2,5-furandione and 2-methyl-2-propenamide",,(C14H14O4.C9H4O5.C4H7NO.C4H2O3.C2H6O2)x,,,,
36216,115340-73-3,"Benzoic acid, 2,2'-[(2,4(or 4,6)-dihydroxy-1,3-phenylene)bis(azo)]bis-, mixed C11-14-branched and linear alkyl and 2-ethylhexyl diesters",,Unspecified,,,,
36217,115340-77-7,"Hexanedioic acid, polymer with N-(2-aminoethyl)-1,2-ethanediamine and aziridine, reaction products with epichlorohydrinand polyethylene glycol, formates (salts)",,Unspecified,,,,
36218,115340-78-8,"1-Propanaminium, 3-amino-N-ethyl-N,N-dimethyl-, N-apricot oil acyl derivatives, ethyl sulfates",,Unspecified,,,,
36219,115340-79-9,"1-Propanaminium, 3-amino-N-ethyl-N,N-dimethyl-, N-(mink oil) acyl derivatives, ethyl sulfates",,Unspecified,,,,
3622,127-51-5,"3-Buten-2-one, 3-methyl-4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",,C14H22O,,,,
36220,115340-80-2,"1-Propanaminium, 3-amino-N-ethyl-N,N-dimethyl-, N-(wheat oil) acyl derivatives, ethyl sulfates",,Unspecified,,,,
36221,115340-82-4,"Betaines, (hydroxyethyl)methyl(.gamma.,.omega.-perfluoro-C8-14-.beta.-alkenyl)(2-sulfopropyl)",,Unspecified,,,,
36222,115340-83-5,"Castor oil, polymer with p-tert-butylbenzoic acid, glycerol, phthalic anhydride and trimethylolpropane",,(C11H14O2.C8H4O3.C6H14O3.C3H8O3.Unspecified)x,,,,
36223,115340-86-8,"Siloxanes and silicones, 3-(cyclohexylamino)propylmethoxy, dimethyl, polymers with 3-(cyclohexylamino)propyl silsesquioxanes",,Unspecified,,,,
36224,115340-87-9,"Siloxanes and silicones, dimethyl, [[[3-(cyclohexylamino)propyl]silylidyne]tris(oxy)]tris-, methoxy terminated",,Unspecified,,,,
36225,115340-91-5,"Siloxanes and silicones, dimethyl, methyl phenyl hydroxy terminated, reaction products with N-[3-(trimethoxysilyl)propyl]-1,2-ethanediamine",,Unspecified,,,,
36226,115340-92-6,"Siloxanes and silicones, dimethyl, methyl 3-(1,1,2,2-tetrafluoroethoxy)propyl",,Unspecified,,,,
36227,115340-93-7,"Siloxanes and silicones, dimethyl, methyl 3-(1,1,2,2-tetrafluoroethoxy)propyl, hydroxy terminated",,Unspecified,,,,
36228,115340-94-8,"Siloxanes and silicones, dimethyl, methyl 3-(1,1,2,2-tetrafluoroethoxy)propyl, methyl 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl, hydroxy terminated",,Unspecified,,,,
36229,115340-95-9,"Siloxanes and silicones, dimethyl, methyl 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl",,Unspecified,,,,
36230,115340-96-0,"Siloxanes and silicones, dimethyl, methyl 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl, hydroxy terminated",,Unspecified,,,,
36231,115340-97-1,"Siloxanes and silicones, dimethyl, methyl vinyl, polymers with phenyl silsesquioxanes",,Unspecified,,,,
36232,115340-98-2,"Siloxanes and silicones, dimethyl, polymers with boric acid and methyl silsesquioxanes",,Unspecified,,,,
36233,115340-99-3,"Siloxanes and silicones, dimethyl, polymers with .alpha.,.alpha.'-(dimethylsilylene)bis[.omega.-(2-propenyloxy)poly(oxy-1,2-ethanediyl)]",,Unspecified,,,,
36234,115341-00-9,"Siloxanes and silicones, methyl 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl, hydroxy terminated",,Unspecified,,,,
36235,115341-01-0,"Siloxanes and silicones, methyl 3,3,3-trifluoropropyl, methyl vinyl, vinyl terminated",,Unspecified,,,,
36236,115341-02-1,"Silsesquioxanes, methyl, ethoxy terminated, reaction products with polypropylene glycol",,Unspecified,,,,
36237,115341-03-2,"Silsesquioxanes, methyl 3-mercaptopropyl",,Unspecified,,,,
36238,115341-05-4,"Chromate(1-), hydroxy[2-hydroxy-3-[[(2-hydroxy-5-nitrophenyl)methylene]amino]-5-nitrobenzenesulfonato(3-)]-, hydrogen, compound with 3-[(2-ethylhexyl)oxy]-1-propanamine (1:1)",,C13H7CrN3O10S.C11H25NO.H,,,,
36239,115372-62-8,".beta.-Alanine, N,N-bis(2-hydroxyethyl)-, 2,2-bis[[(1-oxo-2-propen-1-yl)oxy]methyl]butyl ester",,C19H31NO8,,,,
36240,115382-75-7,"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, 2,2-dimethyl-1,3-propanediol and 1,2-propanediol",,(C9H4O5.C8H6O4.C8H6O4.C5H12O2.C3H8O2)x,,,,
36241,115389-05-4,"2-Propenoic acid, 2-hydroxypropyl ester, polymer with ethenylbenzene and 2-methylpropyl 2-propenoate",,(C8H8.C7H12O2.C6H10O3)x,,,,
36242,115401-91-7,"2-Propenoic acid, 2-methyl-, polymer with 1,1-dimethylethyl2-propenoate and 1-ethenyl-2-pyrrolidinone",,(C7H12O2.C6H9NO.C4H6O2)x,,,,
36243,115465-57-1,"Chromate(1-), diaquabis[7-(1,1-dimethylethyl)-3-hydroxy-2-naphthalenecarboxylato(2-)-O2,O3]-, hydrogen, (OC-6-12)-",,C30H32CrO8.H,,,,
36244,115487-36-0,"Cuprate(4-),[2-[[[[3-[(5-chloro-2-fluoro-6-methyl-4-pyrimidinyl)amino]-2-hydroxy-5-sulfophenyl]azo](2-sulfophenyl)-methyl]azo]-4-sulfobenzoato(6-)]-, tetrasodium",,C25H13ClCuFN7O12S3.4Na,,,,
36245,115487-44-0,"Methanamine, N-methyl-, polymer with 1-bromo-3-chloropropane",,(C3H6BrCl.C2H7N)x,,,,
36246,115487-45-1,"Hexanedioic acid, polymer with hydrazine, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, [(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[propanol], methyloxirane and 2,2'-oxybis[ethanol], block",,(C21H28O4.C12H18N2O2.C6H10O4.C4H10O3.C3H6O.H4N2)x,,,,
36247,115487-46-2,"Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 2-[(2-aminoethyl)amino]ethanesulfonic acid monosodium salt, 1,6-diisocyanatohexane, diphenyl carbonate, 1,6-hexanediol, .alpha.-hydro-.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)] and methyloxirane polymer with oxirane monobutyl ether, block",,(C13H10O3.C8H12N2O2.C6H14O2.C5H10O4.C4H12N2O3S.C4H10O.(C3H6O.C2H4O)x.(C3H6O)nH2O.Na)x,,,,
36248,115515-24-7,"Naphthenic acids, polymers with diethylenetriamine, reaction products with benzyl chloride",,(C7H7Cl.C4H13N3.Unspecified)x,,,,
36249,115515-25-8,"Naphthenic acids, polymers with diethylenetriamine and triethylenetetramine, reaction products with benzyl chloride",,(C7H7Cl.C6H18N4.C4H13N3.Unspecified)x,,,,
3625,127-63-9,"Benzene, 1,1'-sulfonylbis-",,C12H10O2S,,,,
36250,115515-26-9,"Acid chlorides, palm kernel-oil, reaction products with casein hydrolyzates",,Unspecified.Unspecified,,,,
36251,115533-21-6,"2-Propenoic acid, telomer with N-(1,1-dimethylethyl)-2-propenamide, 2-methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid monosodium salt and sodium hydrogen sulfite",,(C7H13NO4S.C7H13NO.C3H4O2.Na)x.H2O3S.Na,,,,
36252,115535-36-9,"Quaternary ammonium compounds, trimethyl(.delta.-.omega.-perfluoro-C8-14-.beta.-alkenyl), chlorides",,Unspecified,,,,
36253,115535-39-2,"Copper, [29H,31H,-phthalocyaninato(2-)-N29,N30,N31,N32]-, [[3-[(3-aminopropyl)methylamino]propyl]amino]sulfonyl derivatives",,Unspecified,,,,
36254,115535-44-9,"Sulfurous acid, monosodium salt, reaction products with (cresol, formaldehyde, nonylphenol) polymer",,(C15H24O.C7H8O.CH2O.H2O3S.Na)x,,,,
36255,115559-71-2,"Sulfurous acid, monosodium salt, reaction products with (m-cresol, formaldehyde, nonylphenol) polymer",,(C15H24O.C7H8O.CH2O.H2O3S.Na)x,,,,
36256,115559-72-3,"Sulfurous acid, monosodium salt, reaction products with (m-cresol, formaldehyde) polymer",,(C7H8O.CH2O.H2O3S.Na)x,,,,
36257,115559-73-4,"Urea, polymer with ethanedial and formaldehyde, methylated",,(C2H2O2.CH4N2O.CH2O)x,,,,
36258,115563-65-0,"2-Propenoic acid, polymer with 2-ethylhexyl 2-propenoate and 2-propenenitrile, sodium salt",,(C11H20O2.C3H4O2.C3H3N)x.xNa,,,,
36259,115563-66-1,"2-Propenoic acid, polymer with butyl 2-propenoate, ethenyl acetate and 2-ethylhexyl 2-propenoate, sodium salt",,(C11H20O2.C7H12O2.C4H6O2.C3H4O2)x.xNa,,,,
3626,127-65-1,"Benzenesulfonamide, N-chloro-4-methyl-, sodium salt",,C7H8ClNO2S.Na,,,,
36260,115592-83-1,"2-Propenoic acid, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate, hexadecyl 2-propenoate, N-(hydroxymethyl)-2-propenamide, octadecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl 2-propenoate",,(C21H40O2.C19H36O2.C17H7F25O2.C15H7F21O2.C13H7F17O2.C11H7F13O2.C4H7NO2)x,,,,
36261,115592-84-2,"Acetic acid, ethenyl ester, polymer with ethenol and formaldehyde",,(C4H6O2.C2H4O.CH2O)x,,,,
36262,115592-85-3,"Guanidine, cyano-, polymer with 1,2-ethanediamine and formaldehyde, sulfate",,(C2H8N2.C2H4N4.CH2O)x.xH2O4S,,,,
36263,115633-28-8,"Butanedioic acid, methylene-, polymer with butyl 2-propenoate, ethenylbenzene and 2-propenenitrile",,(C8H8.C7H12O2.C5H6O4.C3H3N)x,,,,
36264,115706-73-5,"Ferrate(1-), bis[4-[(5-chloro-2-hydroxyphenyl)azo]-3-hydroxy-N-phenyl-2-naphthalenecarboxamidato(2-)]-, ammonium sodium",,Unspecified,,,,
36265,115706-75-7,"Ethanol, 2,2'-(cyclohexylimino)bis-, polymers with 2,2'-(tallow alkylimino)bis[ethanol] acetates (salts), block, dimethyl sulfate, quaternized",,Unspecified,,,,
36266,115706-76-8,"Ethanol, 2,2'-iminobis-, compounds with polyethylene glycolmono-C12-13-alkyl ether butyl stearyl phosphates",,Unspecified,,,,
36267,115706-77-9,"Amides, from adipic acid and polyethylenepolyamines, polymers with 1,2-dichloroethane",,(C6H10O4.C2H4Cl2.Unspecified)x,,,,
36268,115716-56-8,".beta.-Alanine, N-[[1-hydroxy-4-[[1-(4-nitrophenyl)-4-[[(1-phenyl-1H-tetrazol-5-yl)thio]methyl]-3-undecyl-1H-pyrazol-5-yl]oxy]-2-naphthalenyl]carbonyl]-, methyl ester",,C43H48N8O7S,,,,
36269,115716-61-5,".beta.-Alanine, N-[[1-hydroxy-4-[[4-[[[1-(4-hydroxyphenyl)-1H-tetrazol-5-yl]thio]methyl]-1-(4-nitrophenyl)-3-undecyl-1H-pyrazol-5-yl]oxy]-2-naphthalenyl]carbonyl]-, methyl ester",,C43H48N8O8S,,,,
3627,127-66-2,"Benzenemethanol, .alpha.-ethynyl-.alpha.-methyl-",,C10H10O,,,,
36270,115730-46-6,"Xanthylium, 9-(2-carboxyphenyl)-3,6-bis(diethylamino)-, salt with dodecyl(sulfophenoxy)benzenesulfonic acid (2:1)",,C28H31N2O3.1/2C24H32O7S2,,,,
36271,115830-45-0,"2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with butyl 2-propenoate, ethenylbenzene, 2-ethylhexyl 2-propenoate and methyl 2-methyl-2-propenoate",,(C11H20O2.C8H8.C7H12O2.C6H10O3.C5H8O2)x,,,,
36272,115892-96-1,"Poly[oxy(methyl-1,2-ethanediyl)], .alpha.-[tris(1-phenylethyl)phenyl]-.omega.-hydroxy-",,(C3H6O)nC30H30O,,,,
36273,115918-50-8,"1-Propanamine, 3-[(2-ethylhexyl)oxy]-, compound with C.I. Solubilised Sulfur Black 1",,C11H25NO.x,,,,
36274,116006-98-5,"Fatty acids, C18-unsatd., dimers, polymers with caprolactam, ethylenediamine, hexamethylenediamine and propionic acid",,(C6H16N2.C6H11NO.C3H6O2.C2H8N2.Unspecified)x,,,,
36275,116006-99-6,"Fatty acids, C18-unsatd., dimers, polymers with 1,2-cyclohexanediamine, ethylenediamine, hexamethylenediamine and propionic acid",,(C6H16N2.C6H14N2.C3H6O2.C2H8N2.Unspecified)x,,,,
36276,116007-00-2,"Zinc, bis(2-hydroxybenzoato-O1,O2)-, polybenzyl derivatives",,Unspecified,,,,
36277,116032-50-9,"Ethenylbenzene polymer with ethyl 2-methyl-2-propenoate, ethyl 2-propenoate, 2-hydroxyethyl 2-methyl-2-propenoate and methyl 2-methyl-2-propenoate",,(C8H8.C6H10O3.C6H10O2.C5H8O2.C5H8O2)x,,,,
36278,116044-44-1,"Bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, 3-(1-methylethyl)-, ethyl ester, 2-endo,3-exo-",,C13H20O2,,,,
36279,116089-83-9,"Morpholine, 4-[4-(dodecyloxy)phenyl]-",,C22H37NO2,,,,
3628,127-68-4,"Benzenesulfonic acid, 3-nitro-, sodium salt",,C6H5NO5S.Na,,,,
36280,116126-82-0,"Bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, 3-(1-methylethyl)-, ethyl ester, 2-exo,3-endo-",,C13H20O2,,,,
36281,116242-27-4,"Poly(oxy-1,2-ethanediyl), .alpha.-hydro-.omega.-hydroxy-, ester ether with 4-[bis(2-hydroxyethyl)amino]benzoic acid (3:1)",,(C2H4O)n(C2H4O)n(C2H4O)nC11H15NO4,,,,
36282,116265-67-9,"Propanoic acid, reaction products with diethylenetriamine",,C4H13N3.C3H6O2,,,,
36283,116265-69-1,"Formaldehyde, reaction products with hexamethylenediamine and oxidized ethylene-propene polymer",,(C6H16N2.C3H6.C2H4.CH2O)x,,,,
36284,116340-05-7,"Methanaminium, N,N,N-trimethyl-, salt with 6-amino-4-hydroxy-3-[[7-sulfo-4-[(4-sulfophenyl)azo]-1-naphthalenyl]azo]-2,7-naphthalenedisulfonic acid (4:1)",,C26H15N5O13S4.4C4H12N,,,,
36285,116438-53-0,"Fatty acids, C16-18 and C18-unsatd., polymers with bisphenol A, bisphenol A diglycidyl ether and maleic anhydride, graft",,(C21H24O4.C15H16O2.C4H2O3.Unspecified)x,,,,
36286,116438-54-1,"Fatty acids, C18-unsatd., dimers, polymers with maleic anhydride, neopentyl glycol, phthalic anhydride and trimethylolpropane",,(C8H4O3.C6H14O3.C5H12O2.C4H2O3.Unspecified)x,,,,
36287,116438-55-2,"Fatty acids, dehydrated castor-oil, polymers with 1,1′-oxybis[2-propanol], pentaerythritol and phthalic anhydride",,(C8H4O3.C6H14O3.C5H12O4.Unspecified)x,,,,
36288,116450-15-8,"Phenol, 2,4,6-tribromo-, hydrogen phosphorothioate",,C12H5Br6O3PS,,,,
36289,116467-99-3,"2-Propenoic acid, 2-methyl-, oxiranylmethyl ester, polymer with ethyl 2-propenoate, methyl 2-propenoate and N-(hydroxymethyl)-2-propenamide",,(C7H10O3.C5H8O2.C4H7NO2.C4H6O2)x,,,,
36290,116468-00-9,"2-Propenoic acid, polymer with ethenylbenzene and (1-methylethenyl)benzene, 1-propanol, 2-amino-2-methyl- salt",,(C9H10.C8H8.C3H4O2)x.xC4H11NO,,,,
36291,116543-69-2,"2-Propenoic acid, 2-methyl-, polymer with ethyl 2-propenoate, N-(4-hydroxyphenyl)-2-methyl-2-propenamide, methyl 2-methyl-2-propenoate and 2-propenenitrile",,(C10H11NO2.C5H8O2.C5H8O2.C4H6O2.C3H3N)x,,,,
36292,116565-73-2,"Chromium lead molybdenum oxide sulfate, silica modified",,Unspecified,,,,
36293,116565-74-3,"Chromium lead oxide sulfate, silica modified",,Unspecified,,,,
36294,116578-31-5,"1H-Isoindole-1,3(2H)-dione, 2-[3-[(2-benzo[b]thien-3-ylethyl)methylamino]propyl]-5,6-dimethoxy-",,C24H26N2O4S,,,,
36295,116609-67-7,"Oxirane, methyl-, polymer with oxirane, 1,6-hexanediylbis(carbamate) (2:1), didodecyl ether",,C12H26O.1/2C8H16N2O4.(C3H6O.C2H4O)x,,,,
36296,116671-23-9,"Poly(oxy-1,2-ethanediyl), .alpha.,.alpha.'-phosphinicobis[.omega.-hydroxy-, di-C12-14-alkyl ethers, sodium salts",,Unspecified,,,,
36297,116671-29-5,"Phosphoric acid, 2-ethylhexyl ester, ethoxylated, sodium salt",,(C2H4O)nC8H19O4P.Na,,,,
36298,116671-30-8,"Hexanedioic acid, polymer with azacyclotridecan-2-one, hexahydro-2H-azepin-2-one, 1,6-hexanediamine and oxirane",,(C12H23NO.C6H16N2.C6H11NO.C6H10O4.C2H4O)x,,,,
36299,116726-90-0,"Benzenesulfonic acid, C10-13-alkyl derivatives, compound with hydrogenated tallow amine, ethoxylated",,Unspecified,,,,
363,,Naphthalene reaction products with chlorowax further reacted with C16-18 .alpha.-olefins,,,,,,
36300,116726-94-4,"Phenol, reaction products with 2,2-dimethyl-3-methylenebicyclo[2.2.1]heptane, hydrogenated",,C10H16.C6H6O,,,,
36301,116726-95-5,"Poly(oxy-1,2-ethanediyl), .alpha.-sulfo-.omega.-hydroxy-, C16-18-alkyl ethers, ammonium salts",,Unspecified,,,,
36302,116726-96-6,"Sulfuric acid, mono-C16 and C18-unsaturated alkyl ester, ammonium salt",,Unspecified,,,,
36303,116736-81-3,"2-Butenedioic acid (E)-, polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly(oxy-1,2-ethanediyl)] and .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]]",,(C9H4O5.C4H4O4.(C3H6O)n(C3H6O)nC15H16O2.(C2H4O)n(C2H4O)nC15H16O2)x,,,,
36304,116810-31-2,"Alcohols, C16 and C18-unsaturated, ethoxylated propoxylated",,Unspecified,,,,
36305,116810-32-3,"Alcohols, C18-22, ethoxylated",,Unspecified,,,,
36306,116810-33-4,"Alcohols, C8-12, ethoxylated propoxylated",,Unspecified,,,,
